12B-cs2,12B-sc2,12B-cs,12B-sc
14.15373,5.956,7.81904,24.908
14.15925,5.95948,7.82319,24.9112
14.16405,5.9626,7.82549,24.9142
14.16704,5.96602,7.82992,24.9181
14.17266,5.96838,7.83482,24.92078
14.17609,5.97302,7.83911,24.92562
14.18261,5.9764,7.84533,24.92762
14.18663,5.97952,7.84916,24.93234
14.19053,5.98396,7.85336,24.93424
14.19402,5.98648,7.85915,24.93868
14.19982,5.99052,7.86297,24.94316
14.20396,5.99402,7.86721,24.94604
14.20799,5.99684,7.87072,24.94972
14.2133,6.0007,7.87664,24.95164
14.21704,6.00398,7.88018,24.95624
14.22087,6.00796,7.88371,24.9603
14.22684,6.01192,7.88894,24.96232
14.23065,6.0142,7.89305,24.967
14.23547,6.01698,7.89783,24.96884
14.23919,6.02072,7.90155,24.97374
14.24462,6.0248,7.90749,24.9782
14.24779,6.0287,7.9114,24.98078
14.25358,6.03106,7.91551,24.98308
14.25502,6.03444,7.91865,24.98708
14.26025,6.03768,7.92488,24.99058
14.26419,6.04114,7.92903,24.99522
14.26886,6.04584,7.93455,24.99664
14.27364,6.04864,7.93912,25.00194
14.27825,6.05242,7.9415,25.0039
14.28467,6.05544,7.94654,25.00768
14.28683,6.05886,7.95028,25.01286
14.29099,6.0632,7.95502,25.0153
14.29714,6.06628,7.96074,25.01898
14.30028,6.0703,7.96513,25.0216
14.30395,6.07272,7.96932,25.0255
14.30968,6.07564,7.97349,25.02932
14.31401,6.08024,7.97914,25.03178
14.32037,6.0826,7.98162,25.03544
14.32483,6.08656,7.98555,25.03832
14.32697,6.0896,7.99017,25.04214
14.33163,6.09322,7.99547,25.04704
14.33807,6.09676,7.99948,25.04906
14.34169,6.1002,8.00398,25.05298
14.34531,6.10346,8.00873,25.05614
14.35015,6.1069,8.01314,25.06062
14.35576,6.1113,8.01758,25.06378
14.35726,6.115,8.02314,25.06648
14.36353,6.11714,8.02607,25.06994
14.36781,6.12168,8.03096,25.07324
14.37285,6.12326,8.03532,25.07754
14.3766,6.1278,8.04045,25.08142
14.38053,6.13242,8.04278,25.08384
14.38523,6.1341,8.04812,25.08722
14.38892,6.13918,8.05249,25.09036
14.39423,6.14264,8.05671,25.09422
14.39779,6.14524,8.06213,25.09852
14.40332,6.14952,8.06751,25.10092
14.40589,6.15186,8.07214,25.10592
14.41225,6.15576,8.07612,25.10754
14.41543,6.15876,8.0784,25.1117
14.42161,6.16328,8.0853,25.11594
14.4248,6.16664,8.08823,25.11888
14.43018,6.1694,8.09217,25.12202
14.43458,6.17366,8.09779,25.12604
14.43917,6.17616,8.10088,25.1296
14.44291,6.1796,8.10769,25.13292
14.44819,6.18394,8.11229,25.13608
14.45245,6.1869,8.11574,25.14032
14.45668,6.19038,8.11912,25.14262
14.46126,6.19326,8.12294,25.14664
14.46558,6.19798,8.12745,25.1496
14.46832,6.20068,8.13464,25.15308
14.47536,6.2036,8.13864,25.1565
14.47718,6.20806,8.14154,25.1599
14.48211,6.21142,8.14587,25.1631
14.48706,6.21442,8.15191,25.16746
14.49203,6.21826,8.15509,25.17024
14.49522,6.22136,8.15917,25.17446
14.50149,6.2247,8.16279,25.17658
14.50515,6.22724,8.16816,25.18108
14.50849,6.23214,8.17469,25.18448
14.51402,6.23546,8.17805,25.1875
14.51967,6.239,8.18097,25.19206
14.52415,6.2426,8.18689,25.1938
14.52846,6.24484,8.19024,25.19866
14.53035,6.24922,8.19638,25.20174
14.53726,6.25274,8.20004,25.2052
14.5406,6.25498,8.20579,25.20832
14.54451,6.25892,8.20967,25.2113
14.54881,6.26194,8.21191,25.21546
14.5553,6.2656,8.21827,25.21936
14.55877,6.27038,8.22204,25.22146
14.56226,6.27254,8.2275,25.22616
14.56618,6.27728,8.22964,25.22832
14.57101,6.27946,8.23339,25.23218
14.57522,6.2835,8.23917,25.23752
14.58146,6.28744,8.24383,25.2396
14.58415,6.28972,8.24845,25.24366
14.58843,6.29382,8.25262,25.24608
14.59311,6.2974,8.25762,25.25012
14.59804,6.30104,8.26244,25.25432
14.60156,6.30512,8.26803,25.25714
14.60678,6.3075,8.2702,25.26028
14.6109,6.31078,8.27461,25.26276
14.61514,6.31438,8.27943,25.26668
14.62086,6.31754,8.28473,25.2707
14.62396,6.32184,8.28876,25.27284
,6.32506,,25.27786
,6.32904,,25.2805
,6.33192,,25.28452
,6.33608,,25.28862
,6.33862,,25.29158
,6.34224,,25.29594
,6.34568,,25.29768
,6.34888,,25.30238
,6.35252,,25.30616
,6.3572,,25.309
,6.35884,,25.31226
,6.36218,,25.3149
,6.36586,,25.31876
,6.36994,,25.32316
,6.37366,,25.3262
,6.37598,,25.32966
,6.38004,,25.33316
,6.38416,,25.33652
,6.38758,,25.33972
,6.39056,,25.34348
,6.39426,,25.34724
,6.3984,,25.34974
,6.40062,,25.35392
,6.4046,,25.35776
,6.40832,,25.3603
,6.41136,,25.36356
,6.41442,,25.36768
,6.41836,,25.37004
,6.42168,,25.37472
,6.42498,,25.37752
,6.42812,,25.38082
,6.43206,,25.38402
,6.43544,,25.38816
,6.4384,,25.39188
,6.44274,,25.39468
,6.4455,,25.39828
,6.4506,,25.40178
,6.45254,,25.4056
,6.45644,,25.4091
,6.46054,,25.41238
,6.46258,,25.41614
,6.4667,,25.41828
,6.47016,,25.4219
,6.47376,,25.42632
,6.47748,,25.43042
,6.48076,,25.43336
,6.48352,,25.43648
,6.48718,,25.43982
,6.49146,,25.4444
,6.49486,,25.44604
,6.49694,,25.45092
,6.5018,,25.45396
,6.50476,,25.45724
,6.50786,,25.46046
,6.51318,,25.4641
,6.51512,,25.467
,6.51866,,25.47078
,6.5218,,25.4743
,6.52574,,25.47912
,6.5293,,25.48186
,6.5329,,25.48516
,6.53586,,25.48762
,6.53844,,25.4925
,6.54218,,25.49524
,6.54686,,25.49848
,6.54958,,25.50236
,6.5533,,25.5053
,6.55642,,25.50934
,6.55924,,25.51282
,6.56416,,25.5155
,6.56688,,25.52062
,6.57094,,25.52268
,6.5741,,25.52642
,6.57706,,25.5309
,6.5806,,25.5337
,6.58364,,25.53712
,6.58824,,25.53948
,6.5912,,25.54362
,6.5945,,25.54728
,6.59812,,25.55114
,6.60096,,25.55452
,6.60536,,25.5566
,6.60746,,25.56072
,6.61178,,25.56516
,6.61494,,25.56796
,6.61874,,25.57128
,6.62274,,25.57506
,6.62518,,25.57896
,6.62916,,25.58238
,6.63322,,25.58536
,6.63534,,25.58832
,6.64078,,25.59234
,6.64336,,25.59572
,6.64534,,25.5995
,6.65016,,25.6025
,6.65346,,25.60516
,6.65704,,25.60904
,6.66,,25.61288
,6.66444,,25.61742
,6.66798,,25.61954
,6.67032,,25.62376
,6.67434,,25.62552
,6.67732,,25.63022
,6.68058,,25.63398
,6.68512,,25.63646
,6.68838,,25.64018
,6.6919,,25.64416
,6.69416,,25.64806
,6.69842,,25.6516
,6.70248,,25.65464
,6.7052,,25.65796
,6.70962,,25.66088
,6.71208,,25.66514
,6.71596,,25.66852
,6.71994,,25.6711
,6.72218,,25.67618
,6.72618,,25.67842
,6.72886,,25.68224
,6.73274,,25.68694
,6.73678,,25.68868
,6.73978,,25.69252
,6.7442,,25.69548
,6.7458,,25.69914
,6.75004,,25.70348
,6.75404,,25.70574
,6.7569,,25.70962
,6.76042,,25.71344
,6.76314,,25.7169
,6.76796,,25.7213
,6.77064,,25.72338
,6.7738,,25.72806
,6.77786,,25.73062
,6.7805,,25.7344
,6.78466,,25.73814
,6.78842,,25.74136
,6.79144,,25.74406
,6.79414,,25.74782
,6.79844,,25.75158
,6.8021,,25.75424
,6.80554,,25.75846
,6.80922,,25.76204
,6.8121,,25.76382
,6.81598,,25.76838
,6.81916,,25.77274
,6.82286,,25.77504
,6.82596,,25.77878
,6.83014,,25.78204
,6.83342,,25.78516
,6.8359,,25.79036
,6.84026,,25.79208
,6.8433,,25.79632
,6.84766,,25.79896
,6.85052,,25.80298
,6.85416,,25.80668
,6.85748,,25.80966
,6.85986,,25.81282
,6.86518,,25.81672
,6.86674,,25.82036
,6.87046,,25.82342
,6.87418,,25.82672
,6.87822,,25.83144
,6.88202,,25.83336
,6.88496,,25.83686
,6.88906,,25.84114
,6.89166,,25.84422
,6.89458,,25.84728
,6.89776,,25.8508
,6.90192,,25.85544
,6.90568,,25.8594
,6.90954,,25.86108
,6.91232,,25.86564
,6.9159,,25.86816
,6.91886,,25.87172
,6.92264,,25.87654
,6.92616,,25.87972
,6.92906,,25.8818
,6.93216,,25.88542
,6.9357,,25.88946
,6.9407,,25.89392
,6.94404,,25.89574
,6.9462,,25.89986
,6.95058,,25.90268
,6.95362,,25.90632
,6.95812,,25.91098
,6.96144,,25.91406
,6.96378,,25.91708
,6.96854,,25.92046
,6.97156,,25.92374
,6.97448,,25.92746
,6.97922,,25.92986
,6.98126,,25.93422
,6.98638,,25.9374
,6.98746,,25.94114
,6.99256,,25.9457
,6.99604,,25.9476
,6.99886,,25.95172
,7.00204,,25.95536
,7.00546,,25.95882
,7.00872,,25.962
,7.01222,,25.9648
