"1024B","128B","12B"
64.34198,76.75606,77.22209
72.59375,82.8612,85.47807
79.82401,90.23379,96.60009
85.33407,98.31673,97.12781
98.29164,104.65753,104.35395
100.39678,111.53018,113.14389
108.55947,120.37727,120.04419
114.20004,132.40846,126.14664
123.20228,30.85496,30.58419
26.69955,42.29503,38.04233
35.47817,46.01944,46.82682
40.68467,52.65482,52.36934
47.9777,60.0954,59.84434
55.02878,72.42293,66.79811
66.07718,74.69922,75.51452
71.95245,81.80592,80.9487
76.6052,88.88405,88.36222
86.8876,99.60873,95.79272
91.09486,102.70803,103.84185
99.06645,110.55482,116.31437
105.31826,117.35399,118.54169
113.07945,124.52412,124.19427
119.79513,29.2172,29.3538
129.58937,36.36185,40.11277
31.73465,44.19799,43.63992
39.59063,52.54659,51.45533
46.28361,61.65841,58.35379
58.34477,67.80253,66.15204
61.47848,76.43561,73.04073
67.80387,83.19268,79.60229
77.69345,92.46552,90.68348
82.24788,95.59152,93.77408
89.56895,105.48751,106.68162
96.61194,108.7829,108.44317
103.65678,116.33083,115.77162
111.58033,124.22308,123.05106
17.35608,28.36351,27.58124
125.9452,34.95761,34.80741
31.52424,42.10252,46.69708
37.45673,49.29157,51.00803
44.5562,57.93928,56.81931
52.82905,72.49082,72.08474
59.75582,71.02063,71.16673
66.76971,78.06508,78.23637
74.39819,85.19833,85.76785
80.95795,92.82328,92.47897
89.32121,100.60487,99.61923
94.96882,109.08963,108.1401
102.20518,115.91819,114.63097
109.31428,122.56742,121.25014
117.25256,26.14535,26.38093
123.72817,34.74352,33.2362
29.98537,40.47263,44.6184
35.95851,52.52032,47.75308
48.40856,54.9242,56.64102
51.08492,64.06739,62.43679
58.13153,70.70939,73.13973
66.06142,76.59831,76.35354
72.34569,89.56769,83.71596
80.46576,91.08473,91.17493
86.23083,102.39792,99.50612
98.42618,105.23958,105.78607
101.12741,113.64186,112.35013
107.75733,120.54022,119.65407
115.57635,126.97944,25.16488
122.23838,32.01504,31.62607
29.92106,38.84854,13.99981
34.18165,46.30678,46.96337
41.96065,53.43325,53.58855
51.29674,61.01658,61.25253
55.74528,72.56148,69.07051
63.20391,74.93773,76.15776
71.06868,81.96028,82.21169
77.5659,90.12727,89.76872
89.17352,97.88621,96.91504
91.90737,103.69689,104.70435
105.06989,111.29977,110.87871
110.10452,119.43225,118.14044
115.00586,129.99595,129.16997
124.88991,30.1092,30.06822
131.0273,37.31077,37.34289
32.50994,45.00445,44.83641
39.9854,52.6768,56.81177
47.15965,60.63747,59.25288
54.6287,66.2043,65.9996
61.50381,73.50966,73.17482
73.03045,80.48665,86.11162
76.38267,88.99994,88.38222
88.48929,102.60569,98.65177
90.3324,102.0581,104.53107
99.37936,110.92822,109.75132
108.55176,116.4768,117.75188
115.9786,22.72559,127.83058
119.55767,28.62578,31.52933
128.72894,37.59063,36.30684
31.4518,43.61902,45.81564
38.39213,56.01473,50.10856
46.36265,57.62258,57.16493
54.05313,68.65774,64.72454
59.91541,72.89696,73.19717
67.85783,79.7348,78.96172
75.01917,86.23548,87.25617
81.51356,97.35112,93.26859
92.69593,100.58623,106.89542
95.92088,108.99641,109.07866
107.98612,115.08032,114.97853
114.44967,122.13868,126.87656
117.67125,32.6509,26.89749
125.37958,34.07336,34.96047
29.40392,41.58385,41.41009
38.08363,50.00264,48.50995
43.82657,55.87927,56.49513
51.22182,63.47367,63.80557
62.3215,70.10509,70.82814
69.29643,78.59741,77.66885
73.5239,86.93493,85.7985
80.46031,92.81543,97.132
87.34537,103.09704,99.0301
95.05258,106.24584,106.01553
102.76366,114.61344,114.60542
108.796,121.88811,123.45808
115.88427,25.85214,25.49338
126.94074,33.05704,32.86871
29.55649,39.89175,40.11028
137.77598,46.91219,47.52257
42.29954,58.04921,54.13973
49.55184,61.81303,66.93337
56.73427,70.40411,70.3636
64.40326,76.04314,79.64925
71.63592,85.35819,87.02061
80.68995,90.96316,90.18089
85.62438,98.03347,101.34906
92.76455,104.63024,105.06669
100.02117,111.87547,112.73058
114.31209,121.63308,119.14372
114.5953,24.04847,126.88309
121.44278,31.71599,34.65315
128.83194,42.11213,39.50214
35.07497,45.62985,47.49566
41.07202,52.58366,54.04819
48.83209,59.98433,63.76792
57.49251,67.51506,66.86326
63.31668,74.68832,74.64319
70.19615,81.52969,81.68512
76.71584,89.90857,88.58858
83.89313,105.62186,96.17942
91.23755,102.95221,104.11671
102.47558,112.88855,110.23346
105.55752,119.88363,119.16325
113.22808,22.92319,124.50784
121.35815,131.89382,29.87523
27.71511,36.7052,38.6119
32.52506,43.89746,44.32595
40.77877,52.3405,55.18247
48.28125,58.25301,59.22364
58.64881,65.98676,65.75752
61.52216,72.64985,72.49221
68.73002,79.88249,80.33963
75.65104,87.43796,86.81716
83.03357,98.65663,96.12971
92.7935,101.59028,101.57207
100.67069,109.99057,110.43758
104.44202,116.35572,115.65679
111.84528,123.55659,124.78175
118.42658,32.79056,28.6779
127.06486,36.3114,34.87151
33.14814,42.64165,46.10801
38.12815,49.5181,49.38352
44.75847,57.09284,58.95268
17.91193,64.24261,63.96638
59.19926,71.57265,71.01775
66.54624,79.23796,78.30906
77.87542,91.30039,86.90957
82.20586,93.73053,93.55469
88.20664,101.09765,99.74386
96.00334,108.27107,107.2653
102.5005,114.35197,114.31532
109.64236,121.75184,121.88959
116.81757,130.79907,26.26555
128.70458,33.52098,33.81059
28.83542,40.72704,40.63536
36.242,48.16617,48.66466
48.7099,56.03536,58.7844
51.17568,62.15121,63.18411
57.8172,73.14916,69.78272
66.29389,76.45172,79.53733
73.46932,85.34125,83.93135
79.1787,96.4522,90.96054
86.71877,98.98562,107.0979
99.55819,105.69809,105.35398
101.60241,112.65141,112.5413
108.10002,119.98468,119.68727
115.92933,26.04368,127.38347
122.91808,32.4864,32.00012
133.00854,39.91219,39.57765
37.88321,46.49001,46.112
41.64427,54.69184,53.41697
49.14342,60.57621,60.57332
56.05367,69.8671,69.51287
63.43115,75.22297,74.9266
72.46572,82.18671,86.21968
77.71947,91.6259,89.51938
85.30029,96.62119,96.51968
92.96704,104.06819,104.2091
99.70099,111.50076,111.46804
107.78125,119.11424,127.14283
115.61715,23.11428,125.4921
122.33166,31.82196,30.66921
26.37212,37.86335,38.47724
33.54012,48.73447,45.00783
40.63227,52.00864,57.15274
48.73392,59.89624,59.20633
55.39023,67.62319,66.75304
61.54179,73.74617,74.13616
69.53972,81.40975,84.68817
76.11223,88.54468,89.73437
84.18334,95.20131,96.10805
90.97821,103.02168,103.03991
98.2048,110.97521,109.19374
104.79422,120.71074,120.83141
112.70077,124.00429,123.9501
120.59813,28.63517,31.03419
24.08921,36.66166,36.64041
31.25337,43.12062,43.69581
38.41566,51.12287,51.50278
46.35007,159.86572,57.52376
52.91604,70.2314,68.54624
59.91006,73.67052,75.49183
67.50909,79.41013,81.46483
75.22288,86.51203,88.07831
85.5125,94.15103,93.32735
88.87574,102.20489,102.12832
99.6694,109.31977,108.02947
108.83105,115.21793,115.00138
111.97146,122.24867,127.22299
119.02212,130.61713,31.42783
124.85461,34.44056,34.76294
29.68437,42.34349,41.73949
37.08667,49.49808,53.35098
45.58091,55.86608,55.99473
51.85395,64.74222,63.41906
58.98536,74.1397,73.65549
66.7942,78.31214,77.54566
72.85897,84.872,84.63604
80.62498,92.07916,91.8719
88.36801,99.14873,100.50096
95.19869,107.02185,106.21075
102.10465,115.85292,113.58754
109.77616,120.58711,120.79167
116.61731,25.57005,25.35187
124.56025,135.69718,37.26153
130.47769,40.34996,39.72683
35.30999,47.20692,47.83291
42.651,54.47968,54.37917
49.6203,61.80256,62.13458
57.55794,69.49162,72.63821
64.5888,75.88297,75.88093
76.31982,83.32386,83.8543
78.53773,91.11384,90.06629
85.86087,98.46907,97.77807
93.66964,108.95603,106.04831
100.10494,112.60188,114.19821
108.03903,124.87711,119.63854
115.22635,24.0294,127.99968
122.71117,31.40115,35.07989
132.16215,40.03365,38.74447
33.82036,46.01893,14.91152
41.26362,53.39155,54.0626
48.36704,60.26592,61.24598
60.08357,67.08515,67.07935
63.37864,53.06412,74.25716
69.88948,81.86763,81.532
76.92848,88.83431,88.93978
88.92515,95.89751,96.55948
93.63183,103.20021,104.43963
98.69227,110.24253,110.27038
106.99254,123.06381,117.80808
113.33386,124.89579,23.06422
120.14447,132.63953,30.07288
138.73348,36.87751,37.82797
32.18506,44.54176,44.11954
40.84786,51.39641,51.21534
46.51065,59.71263,60.02534
53.8136,66.41759,66.16353
60.99835,73.97928,72.68653
68.15284,80.3256,80.24796
76.4043,90.42656,87.96037
85.49353,97.68661,94.55809
92.84464,143.09335,106.83179
96.89368,110.6823,121.75539
108.9655,116.01166,116.40903
115.5417,123.09801,123.09227
119.51735,30.0999,28.11512
125.93391,35.71946,36.45644
30.65325,42.53791,47.37266
37.85993,52.0359,49.3566
45.5702,57.47547,56.94308
52.40448,68.07403,65.53964
59.38936,75.4987,75.39201
70.87527,79.52102,78.70117
73.86685,89.67949,85.43225
83.08445,96.449,93.78313
93.9148,100.12887,99.95754
96.39741,107.451,107.31514
106.61008,114.58728,114.52952
110.04285,121.56144,121.59178
117.26803,30.33618,26.76952
129.00566,33.80843,34.8163
30.27203,44.54992,43.36724
36.91897,53.14856,48.20352
49.01632,55.30512,59.20038
51.0005,62.33223,63.1033
57.84658,70.558,69.86473
65.68509,77.35067,77.15023
77.01428,84.04599,84.72929
80.22272,94.98276,91.06054
86.51761,99.65795,98.56159
99.029,105.98234,105.46258
105.04047,112.90861,117.29055
108.89301,120.64464,120.89439
115.29017,32.13154,131.1494
123.26337,35.98217,32.16365
129.79244,39.38625,39.20675
35.35295,46.83749,46.587
45.60353,53.62567,53.62048
49.49418,63.30887,67.45822
56.361,69.29898,71.86856
66.25898,75.55483,76.53368
70.67382,82.81591,87.46151
78.75591,89.51383,89.82497
84.9033,103.19547,101.76069
93.28568,113.19812,104.10729
99.7952,111.78795,111.16068
107.43206,123.20572,118.3771
118.48555,127.73078,23.68365
125.15135,31.74578,31.55636
128.3725,37.53895,37.99097
33.10265,44.89495,44.75837
41.01568,52.16878,51.97513
51.40057,59.07246,59.23236
55.07623,67.9295,70.63376
63.19642,73.61489,73.88036
69.16253,80.81718,80.89637
76.20776,89.06424,89.49033
83.34447,95.84358,96.65555
91.7814,104.52043,102.27582
98.28443,109.72992,110.35211
106.12655,121.3846,118.44727
113.50154,124.1086,127.84358
127.93214,28.90602,29.50029
29.10627,35.93924,36.15305
32.2824,43.96312,43.9033
38.61957,50.57167,51.15271
49.4876,57.88471,61.84493
52.95147,64.96236,65.10987
60.40846,76.5345,72.1988
67.41876,79.50025,80.70792
77.85126,87.7789,86.9089
86.01038,94.62593,95.12254
89.04152,105.67038,101.64247
97.05308,109.98001,109.1543
103.80104,115.31255,115.00989
110.6779,21.33693,127.55026
121.93975,29.01824,27.2373
124.9894,34.59112,34.56798
33.7641,42.54681,41.56178
43.72848,48.89914,48.81108
45.55928,57.94726,57.62709
52.13858,64.21599,65.28422
58.67702,72.79637,16.61207
66.03094,80.45277,81.63125
73.01556,85.71343,84.92884
80.78031,92.93138,92.5823
89.24141,99.7734,100.06088
94.47408,209.11143,106.55952
103.74215,120.21142,114.19222
109.97906,121.05096,121.43109
116.28379,128.19698,25.58583
129.17389,135.37163,37.59187
28.26578,40.12352,40.13269
37.3904,47.93597,48.08012
44.02301,55.85959,54.58112
50.08389,64.10755,62.37508
57.0798,68.98573,69.14146
64.64749,76.34517,77.4244
71.60556,83.61248,83.40846
82.70056,94.94977,91.12452
87.03867,99.51532,98.89553
93.55163,105.1188,104.9523
100.37328,113.64844,115.22595
107.523,119.9335,123.44697
114.67653,127.15937,126.58508
125.91529,31.29448,32.63865
133.07481,43.34901,38.54289
136.62396,47.07061,45.82256
41.69908,56.60245,56.68882
48.64617,60.55604,60.31272
55.50707,67.87997,67.26617
62.7723,75.2143,74.9831
74.00593,82.88716,82.19615
77.24623,89.64004,88.8698
89.22723,96.88484,96.63937
92.29992,104.09609,107.18593
99.48346,111.00988,114.41615
105.91508,117.81308,119.0624
113.30599,23.91855,124.81011
122.12252,29.7287,30.14044
131.40641,43.38237,38.24238
33.35269,44.73199,43.90833
40.24132,51.97019,51.81936
47.49057,63.39002,60.11122
54.18045,65.91271,67.0603
61.99249,72.91819,77.68727
68.95548,80.26845,80.78654
75.39818,91.3512,87.45405
82.75664,95.66022,94.33264
90.54674,101.72288,101.56395
96.94743,113.10704,109.1071
110.12036,116.74232,118.96311
111.65651,123.53028,127.41722
118.49631,134.64379,32.12071
127.2904,39.35598,35.20441
30.8985,42.90002,43.18054
38.04798,52.88709,50.14602
45.10505,60.80016,56.98988
