250k-SF128-1024B,250k-SF128-128B,250k-SF128-12B,64k5-SF2048-4o6-1024B,64k5-SF2048-4o6-128B,64k5-SF2048-4o6-12B
817.35699,109.04231,21.38858,,,1181.12388
817.35815,359.04446,21.38616,,,1181.12785
817.35971,109.04525,21.384,,,1181.13084
817.35602,109.04533,21.38551,,,1181.11887
817.36021,109.04215,21.39125,,,1181.12205
817.35713,109.04608,21.38878,,,1181.12608
817.35795,109.04286,21.38667,,,1181.12932
817.35664,109.04284,21.38804,,,1181.13335
817.35778,109.04425,21.38985,,,1181.1205
817.35994,109.04401,21.3869,,,1181.12446
817.35859,109.04507,21.38869,,,1181.12767
817.35844,109.04649,21.38578,,,1181.13169
817.35899,109.04233,21.38759,,,1181.11895
817.3548,109.04376,21.389,,,1181.12295
817.35508,109.0438,21.38696,,,1181.12615
817.35571,359.04368,21.38832,,,1181.13018
817.35258,109.04448,21.38615,,,1181.11748
817.35589,109.04595,21.38759,,,1181.12153
817.35264,109.04335,21.38547,,,1181.12478
817.35591,109.04482,21.38654,,,1181.12881
817.35225,109.04186,21.38835,,,1181.11604
817.35636,109.04331,21.38542,,,1181.11996
817.36168,109.0448,21.38757,,,1181.12298
817.35727,109.04462,21.38504,,,1181.12691
817.35609,109.04569,21.38721,,,1181.13018
817.35741,109.04323,21.38469,,,1181.1342
817.35817,109.04469,21.3905,,,1181.12142
817.35507,109.0445,21.388,,,1181.12541
817.35974,109.04559,21.38591,,,1181.1284
817.36183,109.04311,21.3873,,,1181.13239
817.36087,109.04308,21.38915,,,1181.11966
817.35472,109.04414,21.38621,,,1181.12364
817.35699,109.04396,21.38815,,,1181.12684
817.35731,109.045,21.38557,,,1181.13083
817.35915,109.04498,21.38772,,,1181.13407
817.35646,109.046,21.38524,,,1181.12206
817.35776,109.04358,21.3874,,,1181.12531
817.36138,109.04339,21.38493,,,1181.12933
817.35879,109.04417,21.38671,,,1181.13257
817.36078,109.04399,21.38389,,,1181.12054
817.36114,109.04481,21.38601,,,1181.12377
817.35672,109.04503,21.38742,,,1181.12779
817.35338,109.04589,21.38921,,,1181.13074
817.35648,109.04226,21.38627,,,1181.11871
817.35377,109.04698,21.38817,,,1181.12196
817.35565,109.04328,21.38528,,,
817.35753,109.04383,21.3871,,,
817.35878,109.04413,21.3885,,,
817.36142,109.04455,21.39042,,,
817.35563,109.04599,21.38747,,,
817.36026,109.04639,21.3854,,,
817.35623,109.0429,21.38678,,,
817.35782,109.04248,21.38465,,,
817.35815,109.04389,21.39001,,,
817.35792,109.04349,21.38783,,,
817.36041,109.0449,21.38924,,,
817.36077,109.0445,21.38712,,,
817.35668,109.0459,21.38823,,,
817.35616,109.04567,21.38606,,,
817.35727,109.04246,21.38712,,,
817.35729,109.04255,21.38495,,,
817.35976,109.0436,21.38634,,,
817.35566,109.04508,21.3885,,,
817.35718,109.04649,21.38598,,,
817.35485,109.04229,21.3839,,,
817.35802,109.04337,21.38919,,,
817.35913,109.04317,21.38717,,,
817.35472,359.0416,21.3846,,,
817.35687,109.0424,21.38651,,,
817.3558,109.04633,21.3879,,,
817.35431,109.04348,21.38583,,,
817.35818,109.04495,21.3872,,,
817.3586,109.04463,21.38512,,,
817.35717,109.04609,21.39047,,,
817.35779,109.04638,21.38841,,,
817.35878,109.0429,21.38582,,,
817.35982,109.04254,21.38795,,,
817.35739,109.04369,21.38934,,,
817.36172,109.04377,21.38717,,,
817.35519,109.04446,21.38858,,,
817.35867,109.04592,21.39074,,,
817.35891,109.04577,21.38818,,,
817.35625,109.04291,21.38614,,,
817.35553,109.04273,21.38753,,,
817.35745,109.0439,21.38548,,,
817.36044,109.04399,21.3869,,,
817.35894,109.04541,21.38481,,,
817.35702,109.04257,21.3862,,,
817.35488,109.04673,21.38415,,,
817.35643,109.04354,21.38946,,,
817.35759,109.04499,21.39135,,,
817.35643,109.04495,21.38839,,,
817.35982,109.04211,21.38637,,,
817.35679,109.04591,21.38775,,,
817.35586,109.04264,21.38567,,,
817.35795,109.04415,21.38708,,,
817.35761,109.04561,21.38898,,,
817.36149,109.04548,21.39037,,,
817.35558,109.04264,21.3844,,,
817.35873,109.04254,21.38973,,,
817.35398,109.04393,21.38374,,,
817.35957,109.04392,21.38909,,,
817.36166,109.04499,21.39091,,,
817.36099,109.04484,21.38405,,,
817.35821,109.04549,21.38595,,,
817.35668,109.04448,21.38696,,,
817.35825,109.04564,21.38879,,,
817.35658,109.04544,21.38621,,,
817.35942,109.04224,21.38834,,,
817.35738,109.04186,21.38587,,,
817.35676,109.04722,21.388,,,
817.35713,109.04306,21.38546,,,
817.35517,109.0441,21.38726,,,
817.35496,109.04555,21.38431,,,
817.35519,109.0467,21.38616,,,
,109.04697,21.38757,,,
,109.04375,21.38947,,,
,109.04521,21.39088,,,
,109.04664,21.3849,,,
,109.04257,21.3859,,,
,109.04376,21.38773,,,
,109.04794,21.38909,,,
,109.04511,21.38693,,,
,109.04493,21.38836,,,
,109.04571,21.39014,,,
,109.04721,21.38731,,,
,109.04705,21.38514,,,
,109.04418,21.38668,,,
,109.04569,21.38884,,,
,109.04322,21.3864,,,
,109.04308,21.38819,,,
,109.04448,21.38537,,,
,109.04431,21.38752,,,
,109.04125,21.38865,,,
,109.04518,21.38649,,,
,109.04638,21.38366,,,
,109.04232,21.38579,,,
,109.04736,21.39112,,,
,109.0445,21.38512,,,
,109.04834,21.38655,,,
,109.04549,21.38834,,,
,109.04577,21.38973,,,
,109.04292,21.3877,,,
,109.04714,21.38474,,,
,109.04421,21.38667,,,
,109.04578,21.38808,,,
,109.04174,21.38597,,,
,109.04677,21.38733,,,
,109.04666,21.38517,,,
,109.04385,21.38662,,,
,109.04532,21.38443,,,
,109.0429,21.38936,,,
,109.04438,21.38729,,,
,109.0443,21.38866,,,
,109.04511,21.38658,,,
,109.04268,21.38798,,,
,109.04686,21.38592,,,
,109.04401,21.38733,,,
