1024B,128B,12B
27.63073,42.52631,17.90924
32.51965,17.52905,7.93124
37.64972,22.54983,12.92692
27.64886,27.54676,17.95073
32.54133,17.5595,7.94254
63.47691,22.56441,12.96656
42.55984,27.57722,17.96017
32.57043,17.58005,7.9791
48.60164,22.5929,12.97388
27.68705,27.59774,18.00183
38.70135,17.61054,7.99347
37.70175,22.61535,13.01747
27.70934,27.6342,18.01106
32.60547,17.63108,8.03478
37.72024,22.64383,13.02868
27.73189,12.64872,18.05171
32.62624,17.66151,8.04833
44.24921,22.66636,13.06534
27.73366,12.67711,18.06608
32.63812,17.68201,8.08402
37.7604,22.69483,13.0837
27.77116,12.6996,18.10359
32.6528,17.71246,8.09526
37.80038,22.71741,13.11929
27.79165,12.72813,18.11295
32.67313,17.73298,8.13185
41.60156,22.7458,13.12667
27.80795,12.75064,18.15864
32.69665,17.76349,8.15019
37.8229,22.7683,13.17026
27.83208,12.77904,18.16387
32.71572,17.78394,8.18749
37.84608,22.79683,13.18145
34.91619,12.80161,18.20516
32.73981,17.81443,8.19723
41.64505,22.81933,13.21818
27.86445,12.83007,18.2148
32.75464,17.83496,8.23678
37.88501,22.84777,13.23248
27.88523,27.85467,18.25635
32.77589,17.86546,8.24803
37.90181,22.87671,13.27206
38.83192,12.95338,18.26578
32.79488,17.88789,8.28466
51.38674,22.96042,13.27934
27.91651,12.98134,18.30734
32.81456,32.98627,8.29896
37.9372,22.99908,13.32303
27.9276,13.02025,18.31665
32.83411,17.94686,8.34027
37.95751,37.95181,13.33429
31.77269,13.02273,18.35794
32.85392,17.96932,8.35395
48.78712,23.03258,13.37095
27.98924,13.07969,18.37157
32.87154,17.98985,8.38958
37.99801,23.06092,13.38525
27.9904,13.08221,18.40911
48.01116,18.0203,8.40088
38.0042,23.08391,13.42485
42.91253,13.11474,18.41851
32.91202,18.04083,8.44173
41.8247,23.11551,13.43613
28.03562,13.13876,18.46416
32.93982,18.08933,8.45574
38.0624,23.13853,13.4758
