32 chunks,16 chunks,2 chunks
125.74309,60.56127,15.93268
114.33196,80.6773,17.46803
116.0642,60.3242,18.39012
111.36456,59.96515,15.93313
128.88924,97.45217,17.45361
120.88936,62.72216,18.2976
113.99776,61.46244,29.38619
113.47634,61.31446,17.43234
111.68234,61.66104,18.38747
120.61316,62.51836,27.66558
148.89862,60.00535,17.47604
111.21313,79.36466,18.26275
116.62508,61.84684,15.95985
117.26517,63.66797,17.48338
112.91508,101.85595,18.30955
155.43355,72.48611,15.9672
117.27993,59.74077,17.46498
114.9102,92.5626,18.4021
114.41488,64.37218,15.9849
116.14573,62.07029,31.46936
169.29204,61.75313,19.52438
118.31983,61.5775,15.96859
115.44455,92.71,19.70298
112.90039,88.97058,18.25021
118.51116,83.74752,15.98159
166.21965,64.43328,17.47333
129.4715,61.38133,18.27801
117.44449,90.12634,15.98842
113.81641,97.67528,17.46838
116.16523,61.55011,18.27789
135.54553,99.84704,20.20585
111.47996,64.45949,17.51803
140.552,63.75656,18.42048
117.40103,58.57466,15.99487
111.09979,92.80511,17.48992
120.75349,60.62829,16.18479
117.52295,61.86404,15.95462
116.62257,61.61131,17.47288
116.62894,63.28297,18.43537
117.10855,61.89693,15.99206
114.48155,61.62269,17.49558
122.97227,73.07056,18.42903
114.31668,60.26364,16.00863
117.48553,59.9337,24.45133
113.065,88.21306,18.28626
113.89322,73.36498,30.72078
128.00046,60.35913,17.48553
124.73762,59.91744,18.35442
113.46911,63.17106,30.07709
113.89399,62.21736,17.49619
113.91108,61.95915,18.34482
128.5842,63.42124,16.03484
127.36507,63.14368,17.50704
113.83585,58.73782,18.36017
117.4704,92.92749,16.01733
114.54156,98.5757,17.52547
127.42747,64.04064,24.23865
109.58994,61.72745,16.02268
117.37753,73.89719,32.30006
114.55177,62.82266,20.78447
115.05673,92.21575,16.01977
125.15024,73.8967,25.99554
128.22925,61.6942,18.29738
113.88378,60.3967,16.00177
117.39298,63.90819,17.51846
113.97712,58.78569,18.35321
114.32578,61.03098,16.05884
120.65606,61.03952,17.54913
140.65414,97.30577,18.32121
115.60559,64.26079,27.71698
115.60423,63.52398,17.53665
114.00026,101.15103,18.35927
180.57798,64.11621,16.06254
147.90303,62.92481,17.56079
115.1779,79.09192,16.14926
115.63355,63.98708,16.01339
116.42889,62.1738,21.27218
119.89267,63.23251,18.38669
131.61113,63.59541,16.06993
114.55545,87.00325,17.54826
113.6089,63.60722,18.38587
112.37636,62.40682,16.08713
132.32087,60.55563,32.01738
149.73689,59.95061,19.58347
114.69314,61.10463,31.43774
111.50881,68.53532,17.5264
115.60459,62.43747,18.49493
125.60396,74.76533,16.082
144.5803,62.65588,17.55592
114.62944,63.85953,18.49875
111.20726,63.70376,16.08874
115.82004,60.56261,17.56073
126.22486,63.84559,18.49809
155.78423,62.29536,16.10353
107.35555,63.65412,17.57256
115.21219,61.61158,28.8021
112.83585,61.35216,15.15272
112.33687,60.78164,17.75878
125.79694,74.07309,18.38682
151.32691,74.15073,16.1015
116.74027,96.20949,17.58822
115.19739,62.78444,18.39916
114.72871,80.31046,16.17153
123.26141,63.31774,17.59211
125.26125,64.86747,18.52262
115.29771,63.13824,16.1094
117.47409,92.35928,17.59195
117.47652,63.76967,18.5178
158.33258,63.75104,34.86282
113.48271,60.67752,17.58384
137.50309,60.2524,18.40016
114.23524,77.56641,16.10005
116.48387,101.55624,17.6037
167.51307,71.16001,18.52902
107.49954,63.80206,20.32643
114.4187,75.30357,17.58752
113.8263,65.08471,18.44326
117.69454,63.81263,16.11789
151.17008,88.67144,17.60341
157.54104,66.32609,18.44119
109.40969,62.64469,16.13824
113.45622,93.85328,22.39159
139.6835,64.18611,18.40839
119.32084,62.46249,29.51957
158.36732,63.73492,17.58451
149.68549,61.2519,18.43683
113.70904,81.88862,16.13321
113.74687,64.20519,24.54753
114.17221,72.67077,18.42016
166.64885,62.76818,16.12283
154.71866,70.72565,17.60372
112.4767,60.04068,18.55382
114.81753,95.45297,16.14485
113.7801,64.04354,17.63163
128.87589,61.96611,48.55357
114.13954,88.11896,16.12879
114.32642,62.4122,31.62067
114.03939,61.465,19.69394
145.98699,91.2215,16.14881
140.72973,61.40093,17.62334
117.48884,61.88621,24.3454
114.91733,79.7218,16.10028
115.82456,61.7928,17.63517
110.25035,99.58079,18.57382
148.82931,62.88894,16.13739
154.17005,63.97974,17.64708
112.57441,63.98846,18.57213
112.57284,72.73184,26.75421
108.18838,65.63795,17.61541
120.34389,61.69551,18.58112
147.27867,63.97669,16.14606
118.45363,64.00575,17.65479
113.9437,64.03348,18.4876
109.19219,62.3399,27.85582
116.59141,92.70886,17.65469
165.81483,61.74228,18.58447
155.00709,74.32182,16.17247
117.60264,61.70767,17.67065
116.01594,63.11951,18.58314
119.43794,87.4268,16.13734
161.78972,110.56113,39.86815
124.60532,63.89868,18.4118
110.5055,61.74391,30.82721
115.45744,64.07338,17.64204
108.3536,71.2002,18.50467
205.09901,61.78222,16.1633
113.6139,60.53235,21.12607
143.55521,74.51865,18.42624
115.96678,64.55986,16.14004
113.16467,59.42645,17.6475
157.67108,93.79411,18.47972
107.92739,65.30057,16.19079
117.63841,62.37688,17.68283
116.08402,67.50213,22.48129
119.04835,74.48508,16.16459
127.28755,62.39121,32.40798
117.31485,59.47081,20.97893
127.89168,64.18047,16.15109
111.05968,63.04808,17.66654
115.01774,62.83574,16.36676
115.16083,63.90516,16.14532
124.42558,67.16001,17.67426
121.53791,63.07533,18.51868
117.80551,62.87091,16.16025
114.47479,60.60826,17.69831
113.60002,61.82827,18.5333
154.81252,64.17342,16.19313
121.02109,66.03931,17.70225
115.98309,65.3956,18.53514
114.25426,63.1632,16.2002
146.13208,62.90444,17.70605
118.75464,64.80436,18.5305
117.80537,65.44681,30.29997
113.24176,62.89628,17.66586
115.47538,78.24224,18.53899
113.27391,65.15968,16.19993
132.69238,64.42154,17.71365
115.89179,64.34712,18.5361
117.44288,74.55049,16.21
113.95754,63.82788,17.69207
119.1026,61.63142,18.54693
121.24206,74.53846,31.54758
118.43972,63.15002,17.65002
144.54513,63.85054,18.6818
115.12339,91.96698,16.18745
112.6528,60.89767,26.19638
149.69731,62.70451,18.54028
124.32426,71.68174,16.18728
128.46201,60.81863,17.71825
113.98544,103.85641,18.66029
114.97335,65.83301,16.22813
115.17105,69.68401,17.71608
158.91945,61.99546,18.55068
127.12876,62.00427,16.2106
113.61507,64.50118,17.92065
114.86195,68.87192,18.55017
117.22716,65.57427,16.22964
124.53979,59.05155,17.75393
110.52447,104.77832,16.34277
115.56012,62.24307,16.19872
116.11354,64.59071,17.70814
113.99899,64.02664,18.56682
127.24393,63.98025,16.24354
116.20622,65.34271,17.73729
115.57113,94.64637,18.67382
113.74948,63.27302,16.21957
112.66492,63.36578,17.74145
172.77553,65.43167,18.56469
118.66143,73.23629,16.26348
138.13455,63.53767,17.74067
116.22502,76.15932,18.68242
119.21882,102.39789,16.22294
126.89782,64.73861,17.76516
155.14103,63.15457,18.58584
159.99502,60.95599,16.25502
115.33555,63.35031,17.75691
114.08003,62.19569,18.58115
114.05742,91.75932,16.25776
165.06119,112.72449,17.7608
128.97677,63.36934,18.60326
