1024B-ESPNOW,128B-ESPNOW,12B-ESPNOW,1024B-SPP,128B-SPP,12B-SPP,1024B-Bluedroid,128B-Bluedroid,12B-Bluedroid,1024B-TCP,128B-TCP,12B-TCP,1024B-Websockets,128B-Websockets,12B-Websockets,1024B-UDP,128B-UDP,12B-UDP,1024B-NimBLE,128B-NimBLE,12B-NimBLE
23.84616,5.75449,5.56478,18.2032,10.8185,18.01701,35.13832,15.94855,21.36854,8.79921,11.28569,12.44011,9.46272,12.3899,11.60693,6.96793,10.98497,6.97066,22.04447,20.51549,4.48038
23.79562,5.74978,5.55814,19.96384,9.95654,10.93075,36.36997,20.96134,11.35606,7.84392,13.27556,12.25386,7.82242,13.30516,13.99974,5.16375,6.1722,10.68743,62.13643,40.52583,24.49541
23.84887,7.20302,6.72953,21.04128,10.06239,11.71696,52.17884,25.96619,16.4316,7.92961,12.6271,14.76113,13.4048,12.15613,11.94026,4.89921,15.9265,10.22635,32.07639,30.5397,14.5065
23.81601,5.73629,5.52876,18.05079,13.60653,10.93755,31.26702,15.97499,21.38587,5.93075,9.08485,17.86105,20.27031,16.54657,13.62871,3.16888,6.55751,19.27609,22.092,20.54671,4.51623
23.84213,5.95157,5.59614,15.74198,11.36798,11.10215,36.38541,20.97985,11.39678,14.64641,12.9614,11.49891,9.07862,14.96465,14.59609,7.16092,6.9471,5.38493,42.08881,40.56289,24.52474
23.86595,5.79782,5.58546,24.18342,10.02974,13.79024,41.27187,26.00065,16.44887,12.27282,23.78172,12.16635,7.5769,11.03996,11.90321,7.9172,11.95781,13.95558,62.11533,30.57004,14.53843
23.82034,5.77122,5.58575,18.03823,18.57883,12.0099,31.2829,15.99949,21.41438,8.7494,15.66847,12.60018,7.83105,11.23063,12.1375,13.65686,13.45986,10.44161,42.19684,20.5897,4.54443
27.6303,5.76537,5.57407,15.75072,12.45625,11.03978,51.28641,21.0123,11.40702,7.84114,13.01382,12.32066,8.92269,22.86693,14.42407,3.24707,12.79252,5.25096,42.12582,40.59378,24.56456
23.87856,5.7876,5.5904,31.97225,10.24144,13.67016,39.87615,26.01718,16.47853,9.25053,21.43865,15.96708,11.4362,13.54224,12.76651,6.31617,5.89308,5.24158,55.1682,30.60896,14.56778
23.85238,5.79185,5.63067,22.68496,13.64368,21.60587,31.30354,16.02598,21.44066,7.92255,10.9359,12.42832,9.89489,11.72444,17.72677,7.99902,14.5047,13.10715,22.14663,20.61582,4.5813
23.87051,5.79512,5.60505,17.57584,11.32767,11.10118,36.44384,21.03086,11.45266,12.39177,11.57605,13.81382,8.61887,11.59454,14.69832,8.51832,6.46237,6.19255,42.16446,40.63733,24.58878
25.40323,5.8004,5.58333,17.16973,12.88023,13.79564,39.90291,26.05162,16.5019,14.52598,11.85279,13.64238,9.37921,11.58356,14.30369,3.30526,6.08709,15.22434,32.16888,30.63995,14.60263
25.59649,5.80168,5.60171,18.06305,9.85621,12.05497,31.32774,16.05043,21.48007,14.53417,11.06548,11.85275,8.66084,14.6702,13.44832,5.46847,17.48204,19.01399,22.18541,20.65483,4.61472
25.5288,6.55106,5.59303,15.80679,10.84893,10.9272,36.46484,21.06333,11.45795,8.07274,15.72168,11.99819,7.90342,13.61186,15.11731,10.51368,11.39748,11.43691,42.19082,40.66304,24.62572
25.58406,8.92724,5.60935,17.14093,10.05558,13.65566,39.92225,26.06817,16.52946,6.7592,11.6519,22.09604,12.16735,13.04201,11.64103,8.64746,6.41908,4.92386,32.20755,60.68032,14.63174
25.37624,6.09192,5.59574,18.06521,13.64113,12.07593,31.3446,16.07691,21.49169,5.74789,7.86467,12.09128,9.4236,11.08932,13.49025,6.79264,12.10319,11.38401,22.2128,20.68499,4.64556
33.46156,5.79669,5.59888,15.76424,11.41098,11.13708,40.26563,21.08178,11.50169,9.28689,13.07122,10.98606,9.35468,10.8822,13.48745,9.63659,14.359,15.4657,42.22962,40.70133,25.15916
23.95464,5.79699,5.58821,17.25377,10.04457,13.78106,41.37213,26.10267,16.5527,7.86274,12.1226,15.4549,8.65422,12.30039,12.23969,8.31994,7.02959,10.20242,57.25028,30.70813,14.66884
25.85495,5.77028,5.62363,31.48585,13.60672,12.08217,59.95187,16.10144,21.51422,9.2109,12.51152,12.04267,9.49961,13.0239,14.31825,3.6762,7.00796,19.29292,22.23646,20.72319,4.67594
25.21022,5.77852,5.63495,18.72431,22.46118,11.05056,36.49598,21.11426,11.5089,12.23897,11.32083,11.73091,7.21441,13.90793,14.4909,5.79529,10.97436,9.40352,42.25912,40.73634,24.68988
25.25551,5.80281,5.60423,17.28585,10.20015,13.67551,39.96421,26.11916,16.58044,7.50805,12.73244,11.67018,7.99925,13.54579,15.19721,8.56434,11.83142,5.1492,32.2613,30.74721,14.69811
25.26577,5.79315,5.60456,18.07036,13.61046,12.02797,46.49186,16.1279,21.55256,5.8915,11.42188,6.82397,11.84324,13.3486,14.59041,4.47951,5.4726,14.94439,50.49525,20.7533,4.7169
25.29411,5.79729,5.58185,15.77413,11.40796,18.45677,36.50767,21.13285,11.5625,13.2882,12.6512,11.84954,7.8275,11.72851,12.08128,5.73493,12.77552,5.57647,70.50696,40.76923,24.71914
25.24728,5.77964,5.58023,29.47463,10.05079,10.95953,41.39934,26.1536,16.60762,18.55094,11.54252,16.32283,10.77802,18.19686,13.04397,10.51307,5.40264,15.99295,32.30236,30.7764,44.73404
23.86194,5.77789,5.59251,18.05316,13.61419,14.67519,31.40036,16.15245,21.56997,14.33264,7.14793,14.8494,8.04138,14.94703,17.09728,5.08736,7.71696,5.13396,22.32399,20.79642,4.74544
23.98779,5.82612,5.58979,15.77959,24.9647,11.03269,40.31112,21.16526,11.56377,7.19542,21.02155,12.81312,7.14956,11.53824,13.6436,8.3015,15.21869,14.96911,42.32441,40.80052,25.26143
27.60403,5.81339,5.6071,17.26229,8.79609,13.57477,40.00989,26.17014,16.62931,8.25797,12.70268,11.61631,11.3787,14.69974,15.39249,12.98329,13.78794,16.98228,32.32954,30.81552,14.76319
24.02824,5.81367,5.59848,18.17996,13.63355,12.08952,31.42564,16.18293,21.59951,6.50817,12.91981,13.91241,7.3205,11.99596,12.24835,13.717,17.71736,15.07232,45.07177,20.82245,34.77828
23.89567,5.79695,5.59277,15.83398,11.39003,11.15159,36.55169,21.18778,11.61309,10.91417,11.49721,16.42189,9.67827,15.1668,14.58874,9.41032,7.47641,5.23668,72.35692,40.84066,24.78973
23.89329,5.79622,5.64916,20.94261,10.03624,13.8416,52.49081,26.20064,16.65656,16.38923,8.01558,13.24786,7.63523,12.96518,15.41943,3.27695,12.28995,10.88379,32.36738,60.84683,14.80354
23.87046,5.79149,5.59738,18.19252,13.62583,12.13213,31.44253,16.20342,21.62081,7.83759,13.95194,13.76747,8.26578,10.79085,13.28793,9.99601,11.9166,5.09873,22.37059,20.86053,4.81022
23.88926,5.78976,5.62281,27.50961,12.62732,11.0547,36.57343,21.21619,11.61074,13.89563,11.30235,14.51567,11.51299,12.7709,14.25318,3.86296,5.59938,11.64855,42.38977,40.86855,24.82137
23.92252,5.82199,5.61407,17.29323,17.7606,13.82093,41.46555,26.22113,16.67519,8.82993,13.85728,15.67324,8.02993,11.99705,13.88677,5.82444,11.70621,13.75897,32.40897,30.88357,14.8284
23.87663,5.78932,5.62744,18.22769,9.91519,12.07732,31.46562,16.23392,21.64052,6.88201,11.2602,13.8704,11.92089,10.9404,11.68962,12.65854,12.76324,6.81495,52.41169,20.89567,4.84223
23.86928,5.79257,5.61673,32.18433,17.13472,11.17577,36.58538,21.23871,11.6617,6.84825,11.49073,11.80636,7.58917,13.60374,15.9695,7.13511,5.56193,4.68745,42.41386,40.90763,25.36588
23.95823,5.8608,5.62706,15.63408,10.00044,20.77923,40.06325,26.25163,16.70955,6.40625,16.81732,12.32427,7.33018,11.71161,11.9659,4.39603,12.0032,4.99546,32.42364,30.91375,14.86435
23.87077,5.79112,5.61625,20.89253,13.6405,12.05929,31.48264,16.25441,21.67012,7.12869,15.31814,16.46515,8.75772,16.04371,11.62558,11.4972,13.98975,20.57331,22.44445,20.92853,4.87144
23.8968,5.81541,5.83968,15.83219,12.59827,11.07369,36.61242,21.26722,11.66163,7.16936,13.8723,12.78851,7.94369,11.13067,12.38836,3.68691,13.15282,16.58457,42.46326,40.93891,24.88657
23.85249,5.7986,6.15092,17.27079,23.98986,13.69788,40.08413,26.27212,16.73315,8.01547,12.85128,10.5816,10.2284,12.95815,14.34543,7.76111,6.31517,15.56967,32.46654,30.95279,45.39898
23.81121,5.79787,10.3395,18.24261,9.92048,11.80599,31.51217,16.28486,21.69535,11.23895,13.7841,12.38958,7.54182,10.89078,13.27128,5.29248,12.90237,12.86676,22.48411,20.95974,4.90733
