1024B,128B,12B
15.93268,11.67721,11.55185
17.46803,10.43039,14.0902
18.39012,13.84049,12.37291
15.93313,12.94546,11.31605
17.45361,10.51964,14.07107
18.2976,13.89443,12.32507
29.38619,11.68664,11.57145
17.43234,10.43457,24.10717
18.38747,16.3487,12.40171
27.66558,12.96999,11.28348
17.47604,25.4976,14.07422
18.26275,10.1485,11.94353
15.95985,14.9438,11.46413
17.48338,10.22411,14.10553
18.30955,13.85543,12.37932
15.9672,12.94431,11.29911
17.46498,10.53863,14.0864
18.4021,13.90948,12.38468
15.9849,11.69759,11.555
31.46936,10.44957,14.09913
19.52438,13.86484,20.96861
15.96859,12.96579,11.23358
19.70298,10.53644,14.93923
18.25021,25.11163,11.28583
15.98159,11.70315,22.95233
17.47333,10.46228,11.23585
18.27801,13.87214,14.97518
15.98842,12.98246,11.30263
17.46838,10.54198,14.06732
18.27789,13.92127,12.42595
20.20585,11.7206,11.57085
17.51803,10.50137,14.11646
18.42048,13.87973,12.4313
15.99487,12.99212,16.35733
17.48992,10.55386,11.19638
16.18479,13.92913,16.18923
15.95462,25.56995,11.49758
17.47288,10.10563,18.73884
18.43537,14.97786,13.98521
15.99206,10.34933,11.36056
17.49558,10.50463,14.94194
18.42903,13.89593,12.3997
16.00863,11.73557,11.59756
24.45133,10.48066,14.13226
18.28626,13.89195,12.4578
30.72078,12.99827,11.36975
17.48553,10.566,14.11602
18.35442,13.94143,12.42624
30.07709,11.7211,11.59401
17.49619,10.39421,14.9888
18.34482,10.15707,15.17099
16.03484,14.91416,11.25327
17.50704,10.48419,15.03108
18.36017,13.90687,11.3113
16.01733,11.74254,11.51243
17.52547,10.50472,14.13396
24.23865,13.89539,12.43772
16.02268,13.01318,11.39111
32.30006,10.57726,14.14073
20.78447,13.92684,12.43194
16.01977,10.98709,11.48196
25.99554,10.4796,14.16415
18.29738,23.02267,14.12209
16.00177,13.01652,12.54935
17.51846,13.33506,11.2951
18.35321,10.22993,16.58966
16.05884,15.19646,15.39794
17.54913,10.49949,11.26561
18.32121,13.9266,15.04682
27.71698,13.02116,11.36064
17.53665,10.59326,14.15892
18.35927,13.94284,12.47866
16.06254,11.75512,11.63287
17.56079,10.35959,14.17679
16.14926,13.92885,12.48562
16.01339,25.50436,13.04334
21.27218,9.28704,24.16641
18.38669,13.94184,12.39358
16.06993,11.764,11.41815
17.54826,10.52758,14.17031
18.38587,13.9421,12.45834
16.08713,13.02799,11.38291
32.01738,10.62394,14.14414
19.58347,13.95785,12.39339
31.43774,11.76612,11.62755
17.5264,10.53504,14.17426
18.49493,13.62284,12.48546
16.082,13.03747,11.3875
17.55592,28.14573,14.18577
18.49875,10.22311,21.06827
16.08874,15.04956,11.5214
17.56073,10.21356,14.18112
18.49809,13.96901,12.48608
16.10353,13.04106,11.38752
17.57256,10.65028,14.14794
28.8021,13.98108,12.47275
15.15272,11.78393,11.68281
17.75878,10.55923,14.19457
18.38682,13.97588,12.51411
16.1015,12.86962,11.3987
17.58822,10.63947,14.17154
18.39916,23.94952,12.49409
16.17153,11.79539,16.65424
17.59211,10.55858,11.29905
18.52262,13.98397,15.10565
16.1094,13.05693,11.40625
17.59195,10.66513,14.19147
18.5178,26.39888,12.50843
34.86282,11.79866,11.66055
17.58384,10.57424,14.21417
18.40016,13.99195,12.53124
16.10005,13.05609,11.46459
17.6037,10.56276,14.21146
18.52902,14.00357,12.51434
20.32643,24.42361,11.68266
17.58752,10.21442,15.07079
18.44326,15.08336,12.5114
16.11789,10.44932,11.47305
17.60341,10.60584,14.21684
18.44119,14.00488,12.5137
16.13824,23.57766,11.6901
22.39159,10.43423,14.22452
18.40839,15.0856,12.5514
29.51957,10.55645,11.54209
17.58451,10.61253,14.21557
18.43683,13.68926,12.52433
16.13321,11.82866,11.68318
24.54753,25.56861,14.21864
18.42016,10.25764,26.0904
16.12283,15.07899,11.37218
17.60372,10.62002,15.09526
18.55382,14.02091,11.44478
16.14485,11.82962,11.55869
17.63163,17.95577,15.09622
48.55357,10.27465,12.48439
16.12879,15.09044,11.45341
31.62067,10.62073,14.21393
