SWEPT-1024B,FIXED-1024B,SWEPT-128B,FIXED-128B,SWEPT-12B,FIXED-12B
34.75502,23.28402,13.92084,11.49628,15.63152,13.00576
18.75252,33.2801,25.9219,21.50006,29.63422,3.02536
32.7624,13.28338,7.92356,31.50346,13.6344,23.0197
16.75974,23.28646,19.92556,11.5064,27.63746,13.01794
30.76608,33.3022,31.92862,21.51026,11.6387,3.03888
14.76734,13.30152,13.92956,31.5137,25.64174,23.0326
28.76904,23.3046,25.9328,11.51586,9.64194,13.03156
12.76746,33.30828,7.93254,21.52068,23.64332,3.05142
26.77192,13.31128,19.93526,31.52442,7.64506,23.04556
10.77348,23.315,31.93678,11.5275,21.60994,13.04434
24.77004,33.31824,13.75552,21.53164,4.61258,3.06468
8.7784,13.31838,24.75688,31.53418,17.61354,23.0584
22.77622,23.32488,5.75966,11.53814,30.61618,13.05772
36.62262,33.32572,16.76072,21.54144,13.61738,3.07728
19.63264,13.33276,27.7626,31.54434,26.61874,23.07158
32.6375,23.33576,8.7637,11.54812,9.62048,13.07002
15.63488,33.3399,19.7657,21.55114,22.62212,3.0908
28.63734,13.33874,30.76796,31.55492,5.62472,23.0843
11.63964,23.34254,11.77032,11.55794,18.62646,13.08328
24.64176,33.35034,22.77178,21.56152,1.62948,3.1036
37.63616,13.35346,3.77316,31.56474,14.63,23.09776
20.64558,23.35632,14.58714,11.56848,27.6316,13.09638
33.65106,33.35598,24.58892,21.5719,10.63398,3.11678
16.64768,13.36326,4.59,31.57626,23.6366,23.11046
29.64652,23.3666,14.59292,11.57896,6.63732,13.10956
12.37796,33.36678,24.59454,21.5831,19.64016,3.12932
24.3796,13.37028,4.59612,31.58636,2.6425,23.12378
36.38148,23.37664,14.59874,11.58978,15.6432,13.12242
18.38338,33.37796,24.60034,21.59292,27.66218,3.14266
30.38868,13.38424,4.60132,31.59588,9.6642,23.13634
12.38582,23.3833,14.60344,11.60004,21.66568,13.13576
24.3884,33.38366,24.60608,21.60328,3.66768,3.1557
36.39022,13.38534,3.82654,31.60684,15.67108,23.14982
18.38494,23.39514,12.82914,11.6099,27.67246,13.14836
30.393,33.40564,21.83048,21.61286,9.67362,3.16872
12.39582,13.40146,30.8322,31.6177,21.67574,23.16248
24.40186,23.40196,9.8349,11.61984,3.67614,13.1614
36.39934,33.40326,18.83722,21.62544,15.67896,3.18164
17.70694,13.40744,27.83744,31.62712,27.6817,23.17578
28.70886,23.41464,6.84046,11.63094,9.68296,13.17452
9.71076,33.422,15.84292,21.6355,21.68652,3.19476
20.70906,13.4251,24.84358,31.63812,3.68728,23.18848
31.71488,23.42118,3.53942,11.64154,15.68902,13.18754
12.70924,33.42924,11.54224,21.64454,27.44304,3.20738
23.71902,13.4363,19.54278,31.6482,8.445,23.20162
34.71284,23.43592,27.54512,11.65166,19.44592,13.20044
15.71802,33.44342,5.54734,21.65476,30.44858,3.22086
26.72508,13.4459,13.54882,31.65838,11.45118,23.21436
7.7217,23.44968,21.55172,11.66262,22.45278,13.21352
18.72816,33.45714,29.55298,21.66546,3.45344,3.23338
29.3431,13.45592,7.55458,31.6686,14.45584,23.22762
9.34524,23.45284,15.55664,11.67144,25.45822,13.24766
19.34796,33.45958,22.83468,21.67634,6.45962,3.24658
29.34832,13.46624,29.83642,31.68002,17.4614,23.24078
9.34716,23.46158,6.83908,11.6816,28.46388,13.2396
19.34876,33.46978,13.8408,21.68594,9.4654,3.25942
29.35074,13.4734,20.84226,31.69042,20.4668,23.25362
9.35594,23.47972,27.84496,11.69288,31.46928,13.25226
19.35926,33.4848,4.84634,21.69652,12.4705,3.27276
29.36126,13.48814,11.84812,31.70044,22.81494,23.26648
9.36152,23.4909,18.85076,11.70244,2.81652,13.26538
19.36414,33.49534,25.62582,21.7059,12.8185,3.28558
29.3656,13.4943,31.62756,31.7096,22.82032,23.27962
8.50184,23.49456,7.62958,11.714,2.82166,13.27862
17.5029,33.50852,13.63236,21.7172,12.82436,3.29886
26.50658,13.4999,19.63414,31.71974,22.82612,23.2927
35.50824,23.51076,25.63538,11.72334,2.8276,13.2915
14.51068,33.51078,31.6379,21.7278,12.82982,3.31152
23.51208,13.51826,7.64024,31.73088,22.83088,23.30574
32.5103,23.52178,13.26014,11.73374,2.83336,13.3046
11.50908,33.5249,18.26316,21.73764,12.83542,3.32506
20.51698,13.529,23.2651,31.74182,22.83812,23.31838
29.51902,23.53196,28.26726,11.74372,2.02846,13.31772
8.5211,33.53666,3.26862,21.74886,11.03096,3.33764
17.09996,13.53906,8.2705,31.75188,20.03274,23.3318
25.09782,23.54246,13.27302,11.75482,29.03366,13.33036
33.10346,33.54706,18.27546,21.75794,8.03636,3.35076
11.09866,13.5415,23.2768,31.76144,17.03684,23.34462
19.10634,23.55332,28.28014,11.7653,26.03994,13.34344
27.10282,33.56034,2.69948,21.768,5.0421,3.36386
35.11112,13.55608,6.70164,31.77262,14.043,23.35762
13.1097,23.56258,10.70356,11.77596,23.0456,13.35662
21.11146,33.5622,14.70458,21.77866,2.04692,3.37708
29.11292,13.57022,18.707,31.78244,11.04864,23.37074
37.11922,23.56686,22.70952,11.78526,20.0506,13.3697
15.12052,33.57646,26.71114,21.78898,29.05362,3.38976
23.11566,13.58036,30.71402,31.79378,8.05504,23.38378
31.11796,23.58368,4.71614,11.79646,17.05658,13.38254
8.43898,33.58424,8.71674,21.79952,25.5233,3.4028
15.44104,13.58802,11.85338,31.80286,3.52526,23.39636
22.44306,23.59422,14.85602,11.80648,11.52754,13.3955
29.44396,33.5979,17.8576,21.80892,19.5295,3.41578
36.44738,13.60086,20.8596,31.81368,27.5317,23.40968
13.44918,23.60444,23.86202,11.81682,5.53184,13.40838
20.45052,33.61182,26.86408,21.81902,13.535,3.42878
27.44474,13.61078,29.86606,31.82326,21.53702,23.42266
34.45448,23.6141,2.8671,11.82596,29.53852,13.44342
11.45936,33.61068,5.7177,21.83088,7.5415,3.44202
18.4572,13.61406,7.7196,31.83432,15.5432,23.43596
24.85362,23.6177,9.72118,11.83706,23.54454,13.43462
30.84862,33.62226,11.72334,21.84098,1.54742,3.45486
36.849,13.6287,13.72562,31.84386,9.54932,23.44882
12.8581,23.63528,15.72754,11.8462,16.59134,13.44798
18.85624,33.63598,17.7307,21.85098,23.59198,3.46788
24.86258,13.6433,19.73282,31.85486,30.59502,23.46168
30.86424,23.64538,21.734,11.85746,7.5958,13.46082
36.8667,33.65054,23.37646,21.86094,14.5988,3.48054
12.8688,13.65338,24.37816,31.86442,21.6007,23.4747
18.87056,23.65658,25.38136,11.8682,28.60252,13.47376
24.86494,33.65188,26.38288,21.87226,5.60456,3.4937
30.87818,13.66258,27.38582,31.87488,12.6073,23.4882
36.8215,23.66584,28.38614,11.87806,19.6081,13.508
11.82242,33.6624,29.38856,21.88242,26.61102,3.50712
16.8176,13.67352,30.39102,31.88594,3.53046,23.50074
21.82366,23.67684,31.39372,11.88934,9.53356,13.4998
26.82876,33.67242,2.35504,21.89382,15.53494,3.51988
31.82692,13.68426,2.35714,31.89674,21.53798,23.51424
36.83272,23.6863,2.3588,11.89838,27.5392,13.51266
11.8271,33.69082,2.3608,21.90306,3.54184,3.53324
16.83758,13.68678,2.36274,31.90606,9.54318,23.52682
21.83902,23.69682,2.3648,11.90926,15.54616,13.52596
26.83682,33.70086,2.36638,21.91286,21.54758,3.54606
31.83944,13.70494,2.36978,31.91552,27.54996,23.53992
36.45986,23.70006,2.37152,11.92022,3.551,13.53868
10.45742,33.70406,2.37374,21.92266,9.55436,3.55892
14.45914,13.70566,2.1734,31.92698,15.55574,23.55286
18.4616,23.71052,31.17604,11.92988,21.55698,13.55168
22.46432,33.71718,30.1782,21.93454,27.55854,3.57178
26.45798,13.72512,29.18064,31.9373,3.56158,23.56588
30.46372,23.72074,28.18298,11.94068,9.1674,13.5648
34.47004,33.73182,27.18508,21.94456,14.16928,3.58492
8.4718,13.73614,26.18632,31.94876,19.17034,23.57886
12.47132,23.7378,25.18846,11.95026,24.17322,13.57792
16.47592,33.74256,24.191,21.95508,29.17516,3.59794
19.57196,13.7431,22.71318,31.95692,4.17738,23.59218
22.57838,23.74892,20.71484,11.96128,9.1788,13.59082
25.58282,33.75318,18.71772,21.96396,14.1807,3.61126
28.58144,13.75606,16.71976,31.96778,19.18254,23.60532
31.58342,23.75548,14.72272,11.97056,24.18482,13.60386
34.58532,33.75548,12.72342,21.97424,29.18652,3.624
37.58056,13.76636,10.72626,31.97806,4.18918,23.61808
10.58542,23.76656,8.72722,11.98192,9.19082,13.6171
13.58692,33.76862,6.73006,21.98498,13.7061,3.63722
16.59298,13.77646,4.1963,31.98868,17.70812,23.63108
18.7828,23.78018,31.19874,11.99148,21.7111,13.62994
20.7814,33.78382,28.20072,21.9961,25.71282,3.64972
22.7795,13.78734,25.20384,31.99916,29.71482,23.6442
24.78534,23.78918,22.20406,12.00236,3.71758,13.643
26.79116,33.78706,19.20798,22.00638,7.71856,3.66294
28.79672,13.79742,16.20984,32.00916,11.7198,23.65686
30.7869,23.80126,13.2115,12.01214,15.72294,13.65612
32.79702,33.80388,9.96576,22.01626,19.72576,3.67586
34.79904,13.80838,5.96826,32.0203,23.72638,23.67014
36.79786,23.811,31.97098,12.02258,27.7281,13.66902
8.6022,33.81782,27.97424,22.0267,1.73142,3.68928
9.60418,13.81822,23.97488,32.03092,5.50736,23.68316
10.60512,23.82152,19.97782,12.0329,8.50852,13.68152
11.60748,33.82114,15.97912,22.0372,10.51074,3.70192
12.6023,13.82768,11.98166,32.04098,12.51372,23.69642
13.60916,23.83142,7.23822,12.04378,14.51574,13.69476
14.61002,33.83532,2.24078,22.04838,16.51742,3.71512
15.6127,13.83884,27.24384,2.0503,18.5188,23.70938
16.61792,23.8419,22.24574,12.05406,20.52218,13.708
17.6197,33.84664,17.2473,22.05778,22.52298,3.728
18.6152,13.84644,12.24988,2.06044,24.52572,23.72236
19.61712,23.85236,7.25108,12.06426,26.5272,13.72102
20.30026,33.85622,2.25378,22.06698,28.53042,3.74126
20.30244,13.8592,27.25696,2.07114,30.53114,23.73502
20.30812,23.8585,22.2584,12.07384,2.53348,13.73426
20.30728,33.87018,16.5327,22.07766,3.66056,3.75394
20.30884,13.87012,10.536,2.08234,4.66284,23.74822
20.3111,23.8725,4.5375,12.08436,5.66444,13.7468
20.30908,33.87326,28.53932,22.08834,6.66772,3.76714
20.31064,13.88014,22.54264,2.0923,7.66918,23.76098
20.32074,23.88334,16.54342,12.09512,8.67076,13.7602
20.31098,33.88666,10.54498,22.0993,9.67356,3.78018
19.53196,13.89066,4.548,2.10304,10.67496,23.7742
18.52876,23.89292,28.54936,12.10558,11.67676,13.77288
17.53542,33.89384,21.7682,22.10952,12.68,3.79312
16.54216,13.90132,14.7698,2.11312,13.68192,23.78716
15.5439,23.90374,7.77344,12.11596,14.68398,13.78604
14.54502,33.90666,30.77464,22.1189,15.68604,3.80604
13.54788,13.90728,23.77764,2.1235,16.34206,23.80038
12.55022,23.91112,16.77848,12.12582,16.34456,13.799
11.5497,33.92166,9.78062,22.13048,16.34622,3.81922
10.54972,13.92144,2.78332,2.1342,16.34864,23.81302
8.82168,23.92382,25.7857,12.13618,16.34936,13.81222
36.82372,33.92392,17.88336,22.1407,16.35308,3.83208
34.82674,13.93412,9.88584,2.14298,16.35478,23.82638
32.82174,23.93496,31.88866,12.14704,16.3574,13.82502
30.82512,33.93852,23.89094,22.15056,16.35834,3.84534
28.82838,13.94222,15.89124,2.15374,16.35996,23.83916
26.83482,23.93724,7.89408,12.1565,15.70592,13.83836
24.82886,33.9496,29.89658,22.1621,14.70762,3.85832
22.8344,13.9531,21.25564,2.16468,13.71054,23.8523
20.83216,23.95224,12.25696,12.16768,12.71314,13.85126
18.81272,33.95202,3.2586,22.17054,11.71432,3.87128
15.81128,13.96316,24.26232,2.1744,10.71674,23.86532
12.80942,23.96252,15.2638,12.17824,9.71864,13.86452
9.81126,33.97346,6.26518,22.1812,8.72108,3.8843
36.821,13.97326,27.26798,2.18516,7.72334,23.8785
33.82398,23.97554,18.27032,12.18854,6.72508,13.87722
30.8227,33.97616,9.27228,22.19318,5.72766,3.89748
27.82762,13.983,29.78214,2.19558,4.01376,23.89134
24.82656,23.9828,19.78518,12.19816,2.01444,13.8901
21.8356,33.98646,9.78636,22.2026,30.00766,3.9103
18.82808,13.9936,29.78966,2.20592,28.01966,23.90452
15.71354,23.99774,19.79198,12.20862,26.0212,13.90308
11.71546,34.00098,9.79396,22.2126,24.0226,3.92348
37.71772,13.99702,29.79612,2.21528,22.02544,23.91742
33.71972,24.008,19.79778,12.21936,20.02708,13.9162
29.72578,34.01166,9.2895,22.22234,18.02882,3.93626
25.72438,14.01476,28.29096,2.22658,16.03186,23.93042
21.7191,24.01794,17.29398,12.22976,13.8734,13.92928
17.72834,34.02162,6.29626,22.2327,10.8755,3.9494
13.73058,14.02468,25.29824,2.23644,7.87832,23.94338
9.7298,24.02744,14.30024,12.24024,4.87996,13.94208
35.73836,34.02762,3.30254,22.24406,1.88112,3.9624
31.00088,14.03554,22.30524,2.24764,28.87202,23.95648
26.0024,24.0389,10.57848,12.25024,25.88724,13.95532
21.002,34.0417,28.58156,22.25368,22.88856,3.9757
16.00678,14.04132,16.58416,2.25702,19.89016,23.96932
11.0095,24.04746,4.58684,12.26098,16.89324,13.968
36.01512,34.04512,22.58952,22.2643,13.1863,3.9883
31.00538,14.0521,10.59088,2.26812,9.18826,23.98234
26.01604,24.05552,28.59254,12.26968,5.19174,13.98078
21.00984,34.0553,16.59452,22.27432,31.17198,4.00164
16.0198,14.06644,4.27174,2.27794,27.19586,23.99544
11.01738,24.0615,21.27388,12.27964,23.19806,13.99416
35.02046,34.07644,8.27582,22.28452,19.19952,4.01402
29.01876,14.07636,25.2784,2.28768,15.20152,24.00852
23.02492,24.07272,12.281,12.29118,11.20376,14.00706
17.01922,34.07932,29.28266,22.2956,7.16428,4.02752
11.02468,14.08674,16.28502,2.29862,2.16516,24.02124
35.03124,24.08942,3.28868,12.301,27.14174,14.0203
29.03584,34.08622,20.28874,22.30544,22.16946,4.04034
23.03556,14.0978,7.29088,2.3084,17.17248,24.03442
17.0334,24.09964,23.65128,12.31218,12.17488,14.0332
11.03946,34.10492,9.65326,22.3154,7.1779,4.05344
34.11742,14.10436,25.65626,2.3192,2.17868,24.04678
27.11588,24.10448,11.65906,12.32188,27.17592,14.04634
20.11446,34.11402,27.66138,22.32626,22.1838,4.06606
13.12292,14.11818,13.6621,2.32912,17.18542,24.06054
36.12658,24.1212,29.66614,12.33308,12.18828,14.05922
29.12802,34.12768,15.66666,22.33572,6.59644,4.07936
22.12674,14.1265,31.17132,2.33882,30.57536,24.07352
15.13226,24.1312,16.1722,12.343,24.60112,14.072
8.1378,34.12642,31.17474,22.34758,18.60298,4.09228
30.22384,14.1381,16.17814,2.34928,12.60466,24.08644
22.2314,24.14116,31.17976,12.35294,6.6074,14.08504
14.23322,34.1415,16.18288,22.35676,30.58762,4.10554
36.23906,14.1492,31.04438,2.35974,24.61194,24.09946
28.2375,24.15122,15.04714,12.36316,18.61344,14.09852
20.243,34.15558,29.04822,22.3676,12.61582,4.11842
12.2449,14.15962,13.05074,2.36996,5.95996,24.1127
34.24416,24.16284,27.05348,12.37368,28.94642,14.11138
26.24264,34.15824,11.05634,22.37808,21.96676,4.13146
18.24884,14.1691,25.058,2.38096,14.9689,24.12544
9.82292,24.16896,9.06194,12.38404,7.9707,14.12432
30.82764,34.17624,22.81574,22.38744,30.9643,4.14432
21.82978,14.17944,5.81746,2.39072,23.9752,24.1385
12.82832,24.18196,18.82016,12.39406,16.97746,14.1372
33.8349,34.1846,31.8226,22.39844,9.97894,4.15756
24.83772,14.18932,14.82506,2.4015,2.9817,24.15128
15.8391,24.19352,27.82676,12.40454,25.97614,14.15008
36.8414,34.19284,10.82924,22.4091,18.9854,4.1707
27.8437,14.19466,23.83176,2.41154,11.988,24.16484
18.84566,24.203,6.68054,12.41552,4.98936,14.16314
9.12166,34.20766,18.68238,22.41956,27.11542,4.18324
29.12818,14.20704,30.68566,2.42258,19.14108,24.17748
19.13376,24.2083,12.68818,12.42542,11.14388,14.17674
9.13184,34.21768,24.69056,22.42958,3.14512,4.19636
29.12992,14.21748,6.69286,2.43262,25.13414,24.19032
19.13574,24.22452,18.69574,12.43578,17.1499,14.18946
9.13444,34.2212,30.6985,22.43906,9.15216,4.20974
29.13652,14.22354,12.69948,2.44288,31.12892,24.20336
18.25688,24.23406,23.97464,12.44634,22.68822,14.20268
37.25816,34.23382,4.97668,22.45084,13.6897,4.22254
26.26826,14.2413,15.97992,2.4536,4.69212,24.21652
15.2663,24.24096,26.98198,12.45648,25.6752,14.21534
34.26898,34.24844,7.9837,22.46056,16.69628,4.2354
23.26732,14.24884,18.98576,2.4632,7.69768,24.2292
12.27684,24.2543,29.9891,12.46648,28.6918,14.2286
31.27914,34.2549,10.99036,22.4703,19.7029,4.24846
20.28114,14.26194,21.11644,2.4741,10.70522,24.24254
9.28446,24.2648,31.11938,12.47796,1.70626,14.24116
27.51076,34.2701,11.12142,22.48,22.68442,4.26144
15.51334,14.27238,21.12394,2.48454,13.71134,24.25544
33.51638,24.26872,31.12644,12.48726,4.71378,14.25446
21.5178,34.283,11.12916,22.49166,25.70494,4.2744
9.51994,14.27646,21.13186,2.49474,16.7188,24.26858
27.52134,24.28626,30.6658,12.49806,7.72144,14.26736
15.51792,34.28966,9.66834,22.50226,28.70046,4.28744
33.53052,14.2935,18.67096,2.50524,19.72554,24.28172
