1024B-ACK,1024B-FaF,1024B-throughput-opt,128B-ACK,128B-FaF,12B-ACK,12B-FaF
54.03917,45.8882,53.27781,8.22169,8.92124,6.26102,2.67075
54.03583,45.88764,53.27739,8.22028,8.92076,6.25987,2.67008
54.03817,45.8873,53.27398,8.21986,8.92045,6.25951,2.66896
54.03799,45.88376,53.27656,8.21946,8.91995,6.25906,2.66855
54.03752,45.88646,53.28419,8.21887,8.91959,6.25826,2.66808
54.03419,45.88601,53.28472,8.21864,8.91908,6.25803,2.66728
54.0367,45.88561,53.28131,8.21822,8.91872,6.25783,2.66711
54.03629,45.88219,53.28369,8.21781,8.91817,6.25742,2.66692
54.03588,45.88477,53.28347,8.2174,8.91761,6.25677,2.6664
54.03254,45.88427,53.28305,8.21699,8.9173,6.25661,2.66573
54.03513,45.88392,53.27164,8.21758,8.917,6.25626,2.66461
54.02969,45.88051,53.27422,8.21717,8.91644,6.2558,2.66419
54.02524,45.88289,53.27385,8.21476,8.91614,6.25414,2.66372
54.02177,45.88264,53.27339,8.21435,8.91563,6.25399,2.66305
54.02441,45.88225,53.26998,8.21377,8.91528,6.25358,2.66294
54.02401,45.87882,53.27261,8.21353,8.91477,6.25317,2.66257
54.02359,45.8814,53.27214,8.21312,8.91442,6.25252,2.66204
54.02025,45.8809,53.27173,8.2127,8.91286,6.25236,2.66137
54.02285,45.88056,53.26823,8.2133,8.91231,6.25201,2.66126
54.02241,45.87719,53.27089,8.21188,8.91199,6.25155,2.65984
54.02194,45.87977,53.27053,8.21148,8.91161,6.25088,2.65936
54.01861,45.87926,53.27006,8.21106,8.91113,6.25073,2.6587
54.02095,45.87887,53.26664,8.21166,8.91083,6.24932,2.65858
54.02071,45.87533,53.26923,8.21124,8.91032,6.24891,2.65822
54.02031,45.87803,53.26881,8.20866,8.90997,6.24813,2.65769
54.01697,45.87754,53.2684,8.20842,8.90946,6.2479,2.6569
54.01955,45.87719,53.26498,8.20802,8.90911,6.24774,2.65673
54.01912,45.87377,53.26737,8.2076,8.90855,6.24729,2.65549
54.01866,45.8764,53.2672,8.20719,8.908,6.24663,2.65501
54.01533,45.8759,53.26674,8.20778,8.90769,6.24647,2.65434
54.01792,45.8755,53.26332,8.20637,8.90739,6.24607,2.65423
54.01743,45.87208,53.2659,8.20597,8.90683,6.24566,2.65386
54.01702,45.87446,53.26549,8.20555,8.90653,6.24401,2.65333
54.01356,45.87417,53.26507,8.20515,8.90602,6.24486,2.65267
54.01628,45.87382,53.26165,8.20556,8.90567,6.2435,2.65255
54.01584,45.8704,53.26429,8.20533,8.90516,6.24304,2.65114
54.01537,45.87298,53.26387,8.20491,8.9048,6.24239,2.65066
54.01204,45.87254,53.2634,8.2025,8.90424,6.24223,2.64999
54.01455,45.87214,53.25992,8.2021,8.90369,6.24182,2.64988
54.01415,45.86877,53.26258,8.20168,8.90338,6.24142,2.6495
54.01374,45.87134,53.26216,8.20128,8.90301,6.24076,2.64898
54.0104,45.8708,53.26175,8.20086,8.90252,6.2406,2.64832
54.01374,45.87045,53.25833,8.20046,8.90122,6.23925,2.6482
54.01255,45.86691,53.26991,8.20005,8.90072,6.23879,2.64678
54.0121,45.86961,53.26955,8.19946,8.90036,6.23901,2.64631
