ETHERNET-1024B,ETHERNET-128B,ETHERNET-12B,WiFi-1024B,WiFi-128B,WiFi-12B
2.63024,2.35929,2.35593,7.5505,5.87014,7.13435
2.71823,2.32865,2.44111,6.25283,5.80181,7.28585
2.70318,2.41351,2.33405,6.2178,6.24504,6.82255
2.77015,2.42444,2.3399,6.03381,6.01275,6.92859
2.77921,2.44759,2.36611,3.13599,5.80727,7.07966
2.80428,2.35806,2.34692,5.7404,5.98069,6.97259
2.69936,2.45712,2.51791,6.01019,7.56556,7.11801
2.66392,2.39064,2.43706,7.99089,5.79908,6.87444
2.63643,2.43257,2.33487,11.85386,5.79213,6.92795
2.78771,2.37261,2.33112,3.35138,6.53953,8.2034
2.79784,2.41806,2.44424,5.98838,5.66918,7.04968
2.72964,2.3966,2.35987,7.63849,5.92752,7.13842
2.6794,2.32617,2.36328,6.38463,9.79022,7.32214
2.74733,2.41224,2.38228,6.2015,9.56409,6.92197
2.71489,2.5125,2.35213,3.06976,10.78369,7.26166
2.81538,2.37928,2.38225,6.24332,5.8207,7.86532
2.78857,2.45276,2.88513,6.18818,7.05321,7.25575
2.64262,2.42406,2.42728,5.71172,6.56725,11.33971
2.88201,2.43392,2.47194,6.1709,5.83202,6.82434
2.74989,2.41293,2.43572,3.22052,6.30443,6.774
2.77122,2.48161,2.42621,6.32265,6.42361,7.09561
2.73437,2.41435,2.5403,6.55943,6.58442,7.28409
2.69125,2.4054,2.48469,6.60207,6.59745,7.03114
2.59295,2.57444,2.44039,6.07348,6.76786,7.27553
2.59588,2.77724,2.33384,3.10057,6.53345,7.53902
2.68938,2.46185,2.30187,8.68435,6.93567,7.06212
2.60325,2.46539,2.58232,6.42561,6.55577,7.1593
2.4616,2.43136,2.40792,6.32454,6.41851,7.07104
2.50066,2.46888,2.423,5.82283,6.6321,10.2887
2.62307,2.38483,2.3352,3.39073,6.5484,7.0958
2.50356,2.40152,2.35734,14.32384,6.83934,6.93145
2.53125,2.54707,2.36376,6.74274,6.41907,6.83389
2.54393,2.33729,2.39223,6.39782,6.61975,7.28916
2.41319,2.30036,2.32615,5.84717,6.76952,6.81316
2.65552,2.67749,2.46283,2.95263,6.52811,7.2983
2.66855,2.38338,2.33341,6.1102,9.3059,7.48548
2.58038,3.12351,2.52542,6.96283,6.25061,6.88783
2.49872,3.08059,2.68775,6.18305,6.51099,9.08555
2.55435,2.66016,2.29273,6.14853,6.57858,9.76689
2.47912,2.58777,2.5076,3.56645,8.19509,7.04287
2.55274,2.57265,2.43552,5.74111,6.6402,6.73234
2.59669,2.61822,2.32966,6.56553,6.99911,6.3088
2.50376,2.58008,2.43388,6.24482,6.89905,14.83548
2.5203,2.59597,2.7249,6.04908,7.39276,6.84073
2.54102,2.8221,7.1862,3.27736,6.43399,6.39314
2.67478,2.55882,2.60018,6.22611,6.36217,6.3559
2.56212,2.61114,2.61533,6.54451,6.51038,6.81021
2.494,2.59495,2.5571,6.02622,6.6487,6.48535
2.68135,2.58992,2.39451,6.39152,6.08425,6.40684
2.65715,2.54901,2.46108,3.11776,6.3084,3.20702
2.50567,2.59581,2.49579,7.44145,6.44309,6.50589
2.54566,2.59594,2.44781,12.43673,6.49512,6.43729
2.53658,2.60615,2.47796,6.11431,6.65368,6.27902
2.51436,2.57241,2.5798,6.34838,5.95542,6.67672
2.56545,2.71914,2.37643,3.0315,6.25095,7.56042
2.65297,2.54764,2.30875,6.25157,6.51319,6.1969
2.56897,2.58861,2.47665,5.99449,6.17778,6.40062
2.49254,2.56292,2.44401,5.54751,6.47079,6.15575
2.53021,2.58992,2.48083,6.15674,6.14628,6.14392
2.6193,2.55186,2.40135,2.87595,6.94117,8.08165
2.60333,2.60335,2.41138,6.24512,6.25205,6.33939
2.45431,2.63008,2.40521,6.32577,6.56907,6.46376
2.4145,2.58365,2.35364,5.99921,6.63899,6.1518
2.57303,2.56811,2.45593,6.12329,3.64527,6.3968
2.60547,2.78246,2.43384,3.22903,6.76443,7.19411
2.64363,2.54471,2.36952,5.62945,6.46779,6.85563
2.53577,2.57248,2.47695,6.09077,6.69417,7.76745
2.47627,2.63166,2.39369,5.77462,6.9661,7.33733
2.5028,2.56278,2.4063,8.07314,6.78535,6.55874
2.57257,2.57783,2.377,5.00451,6.44128,6.94828
2.48434,2.58291,2.49453,8.3019,7.32705,8.0085
2.66514,2.58246,2.40796,7.05908,6.75541,7.18118
2.55724,2.62877,2.44919,5.5506,6.98177,6.76322
2.54916,2.56041,2.49686,5.9392,6.15341,8.06854
2.54994,2.54509,2.4065,2.94728,6.76269,6.83449
51.68226,2.54924,2.36005,7.40758,6.60222,6.65117
2.62321,2.56364,2.59193,6.26619,6.76954,6.97302
2.00202,2.58117,2.41978,5.48878,7.05454,6.9809
1.96541,2.63895,2.29928,6.5244,11.04387,8.05749
1.91718,2.44698,2.44396,3.00177,6.38335,7.42019
2.09165,2.59193,2.37102,6.34447,6.51505,7.90345
2.03798,2.59007,2.3435,6.19458,6.46909,12.67518
4.01374,2.63481,2.45492,6.69871,6.05526,8.01396
2.52029,2.56248,2.43523,6.41213,6.97601,6.78876
2.22953,2.70688,2.46542,3.2195,6.48767,7.13184
2.4082,2.54187,2.43247,7.07804,6.4994,6.9016
2.60868,2.59031,2.45341,6.43055,6.36809,6.89033
2.19689,2.60604,9.89238,6.08784,6.63998,6.85467
1.98007,2.56612,3.13357,8.82125,6.30895,6.7809
2.05961,2.54539,2.46591,3.37337,6.32697,6.87063
2.04204,2.6077,2.58457,5.88546,6.84117,6.76769
1.97889,2.54541,2.62428,6.22066,6.70176,7.0775
1.95937,2.56657,2.56311,6.0597,6.55684,6.85759
2.02836,2.62924,2.58461,9.22693,8.41626,6.69254
1.99063,2.96584,2.62219,3.14638,6.48728,6.79959
2.14805,2.62331,2.54841,6.33703,6.74541,6.89791
3.63307,2.61697,2.6269,6.4231,6.42776,7.46987
2.2743,2.63007,2.56391,5.66363,6.61128,6.78859
2.03324,2.59609,2.59284,79.79426,9.01209,6.62913
1.95697,2.55301,2.63331,12.26622,8.08584,6.53105
2.03574,2.60535,2.64461,74.38996,6.18061,6.97756
1.99455,2.53703,2.52247,5.9771,6.42882,7.19429
1.94434,2.5828,2.57333,72.49672,6.13121,11.17633
2.02898,2.74186,2.62483,7.76052,6.03508,6.7154
1.99131,2.8393,2.58533,80.81803,6.97329,6.94588
2.04164,2.71879,2.6086,5.90229,6.47957,7.11474
2.19759,2.716,2.79548,118.26609,6.75345,7.43547
2.22216,2.70325,3.1068,90.33209,6.8652,7.26919
2.15489,2.67682,2.79553,63.31974,6.70881,6.95412
2.16836,2.6733,2.56876,36.55455,6.81987,6.75958
