"ll-115200-dma-debug","ll-115200-dma-minsize","ll-115200-dma-release","ll-115200-irq-debug","ll-115200-irq-minsize","ll-115200-irq-release","ll-115200-poll-debug","ll-115200-poll-minsize","ll-115200-poll-release"
1158830,1058160,1135190,1060120,1050840,1050700,1065700,1047250,1048970
1087230,1143560,1141250,1067480,1049520,1049360,1064450,1054400,1047560
1171640,1140000,1055730,1066160,1048200,1048000,1062760,1053030,1046280
1171270,1136620,1141270,1064860,1046880,1046700,1061940,1051720,1045010
1162400,1061630,1138680,1063600,1054260,1045460,1060650,1050450,1052350
1090430,1146900,1135970,1062220,1052920,1052720,1058910,1049110,1051050
1175390,1143480,1050560,1060900,1051620,1051480,1066520,1047820,1049760
1166170,1140070,1135990,1068320,1050300,1050120,1065130,1046690,1048200
1157010,1056340,1142010,1067020,1048980,1048800,1063940,1053880,1047120
1085230,1141720,1139360,1065680,1047660,1047480,1062330,1052750,1045710
1178450,1138170,1053940,1064300,1055080,1046140,1060950,1051440,1044450
1169630,1143470,1139340,1063000,1053760,1044820,1059850,1049840,1051840
1160390,1059750,1136750,1061740,1052380,1052220,1067220,1048520,1050430
1088430,1145040,1134160,1060360,1051060,1050880,1065740,1047250,1049120
1173380,1141550,1048650,1067720,1049740,1049540,1064460,1054600,1047780
1164240,1138160,1142810,1066380,1048440,1048300,1063380,1053320,1046330
1163880,1054550,1140210,1065140,1047100,1046940,1061970,1051910,1045210
1091920,1148530,1137490,1063820,1054480,1045600,1060630,1050860,1052510
1176780,1144980,1052080,1062460,1053160,1052980,1059530,1049540,1051290
1167540,1141580,1137480,1061120,1051840,1051620,1066360,1048280,1049740
1158590,1057840,1134960,1059880,1050520,1050380,1065020,1046700,1048420
1086680,1143250,1140990,1067160,1049220,1049020,1063850,1054100,1047250
1171590,1139710,1055460,1065840,1047880,1047680,1062890,1052760,1045910
1171130,1136300,1140900,1064600,1046560,1046440,1061430,1051440,1044480
1161940,1061260,1138270,1063280,1053980,1045060,1060210,1050180,1051990
1090060,1146670,1135720,1061900,1052660,1052480,1067560,1048740,1050630
1174910,1143120,1050190,1060580,1051360,1051100,1066030,1047470,1049340
1165730,1139700,1135620,1067940,1050020,1049800,1064830,1046130,1048070
1156930,1055980,1141700,1066600,1048680,1048420,1063100,1053740,1046800
1093680,1141390,1139100,1065300,1047340,1047220,1062260,1052170,1045250
1178200,1137850,1053620,1063980,1054700,1045860,1060900,1050890,1052830
1169250,1143020,1139030,1062660,1053380,1053160,1059160,1049760,1051490
1160040,1059440,1136420,1061340,1052060,1051940,1066600,1048260,1050170
1088090,1144830,1133860,1060100,1050740,1050560,1065830,1046890,1048780
1173000,1141310,1056950,1067380,1049420,1049220,1063900,1054480,1047570
