115200-DMA,115200-IRQ,115200-POLL,230400-DMA,230400-IRQ,230400-POLL,460800-DMA,460800-IRQ,460800-POLL,921600-DMA,921600-IRQ,921600-POLL,1843200-DMA,1843200-IRQ,1843200-POLL
97248,4958,7718,50924,3824,3064,28132,5762,4632,17561,3421,3031,12565.5,4975.5,4595.5
96608,5658,8268,10784,4584,3894,9702,4282,5132,16631,2731,2531,11015.5,5305.5,4875.5
13078,6388,9078,54904,5234,4654,29942,4922,3612,15731,3041,2821,14445.5,5145.5,4645.5
100558,7088,9628,49984,5884,5254,29422,5702,4442,6801,3471,3101,13795.5,4865.5,5195.5
99928,7768,10438,49354,6654,6014,28772,4232,5212,18041,2781,2611,12275.5,5205.5,4975.5
99388,8458,10988,9194,7314,6584,8112,4882,5782,17031,3101,2901,11265.5,5055.5,5295.5
7268,9148,3148,53314,3704,7424,30612,5532,4262,15021,3431,3181,14695.5,5275.5,5075.5
94638,9848,3698,52674,4364,3734,29962,4052,5032,7251,2751,2681,13425.5,5105.5,4795.5
94108,10538,4508,52054,5024,4314,27182,4832,5592,17361,3181,2971,12495.5,4935.5,5105.5
93468,11228,5028,7654,5784,5144,8662,5482,4332,16441,3511,3261,10995.5,5265.5,4885.5
10048,3178,5848,51784,6434,5644,31142,4002,4842,15531,2851,2501,14305.5,4995.5,4595.5
97418,3888,6658,51134,7084,6484,28372,4652,5672,6621,3291,3041,13625.5,4825.5,4915.5
96788,4598,7208,50504,7854,7054,27712,5432,4142,17861,3591,3331,12095.5,5165.5,4695.5
96268,5318,8018,10344,4144,3634,9302,3952,4912,16841,2891,2561,11195.5,4875.5,4415.5
12768,6018,8568,54464,4904,4224,29412,4612,5482,14931,3321,3111,14605.5,5225.5,4985.5
100168,6718,9378,49604,5564,4984,28882,5252,3962,7151,3661,3401,13335.5,5065.5,4535.5
99638,7408,9928,48954,6224,5554,28242,6032,4722,18261,2971,2661,12415.5,5405.5,5085.5
98988,8098,10738,8794,6984,6384,9822,4562,5562,16221,3401,3241,10805.5,5115.5,4845.5
6848,8798,2648,52904,7634,6624,30082,5202,4062,15301,2691,2451,14735.5,4965.5,5135.5
94338,9478,3448,52384,4024,7464,29432,5852,4612,7491,3001,2761,13575.5,5215.5,4905.5
93678,10168,4048,51764,4684,3844,28792,4372,5422,17611,3431,3291,12045.5,5065.5,4665.5
93048,10858,4858,11594,5344,4354,8272,5152,3872,16731,2761,2551,11105.5,5335.5,4955.5
9658,11558,5408,51334,6104,5184,30632,5812,4682,15701,3081,2821,14425.5,5175.5,4715.5
97118,3498,6218,50724,6764,5754,29992,4332,5232,6901,3521,3391,13785.5,4995.5,5005.5
96478,4208,6768,50194,7414,6534,27232,4982,3692,18011,2831,2611,12245.5,5315.5,5025.5
95858,4968,7578,10044,3814,7094,8802,5762,4502,16091,3151,2911,10745.5,5035.5,4795.5
12438,5648,8128,54154,4464,3474,31302,4272,5052,15081,3461,3431,14675.5,4795.5,5075.5
99818,6348,8938,53514,5224,4244,28432,4922,3762,7281,2771,2721,13515.5,5145.5,4835.5
99178,7038,9758,48624,5884,5074,27872,5572,4302,17381,3191,3011,12505.5,5005.5,4595.5
98658,7728,10308,8454,6544,5644,9482,4102,5142,16501,3641,3301,10975.5,5335.5,4885.5
15168,8418,11138,52564,7304,6404,29712,4882,5712,15581,2951,2541,14385.5,5045.5,4645.5
93928,9118,3068,51924,7964,6974,29062,5532,4192,6681,3261,3091,13735.5,4805.5,4935.5
93268,9808,3638,51384,4354,3364,28432,4062,4952,17911,3711,2331,12215.5,5155.5,4705.5
92658,10498,4398,11244,5014,4124,7862,4702,5792,16981,3021,2611,10695.5,5025.5,5255.5
9248,11188,5238,50994,5664,4704,30242,5482,4012,14961,3341,3161,14635.5,5255.5,5015.5
96728,3148,5808,50444,6424,5564,29722,6142,4772,7151,2651,2401,13365.5,5065.5,4775.5
96078,3858,6568,49824,7084,6104,29072,4682,5342,18381,3081,2691,12485.5,4885.5,5085.5
95448,4558,7148,9654,7734,6924,8412,5342,4082,16371,3411,3241,10845.5,5225.5,4875.5
12048,5288,7978,53764,4134,3274,30912,6012,4582,15361,2731,2481,14265.5,4955.5,4665.5
99428,5978,8478,53114,4794,3824,30262,4542,5432,6451,3161,2761,13615.5,5325.5,4905.5
98898,6678,9318,52594,5554,4644,27502,5062,3902,17681,3481,3311,12065.5,5095.5,4695.5
98248,7358,9918,8064,5974,5194,9062,5842,4662,16751,2791,2551,11175.5,5415.5,5005.5
14838,7438,10728,51934,6624,5994,31442,4372,5222,14731,3231,2831,14475.5,5165.5,4715.5
102218,8158,11278,51394,7314,6544,28692,5012,3702,6911,3561,3381,13815.5,5025.5,4495.5
92938,8878,3448,50774,3714,7354,28122,5682,4472,18041,2871,2621,12315.5,5315.5,5065.5
92288,9578,3998,10604,4364,3714,9612,4252,5042,16051,3311,2911,10775.5,5155.5,4785.5
8888,10178,4798,54724,5134,4284,29732,4902,3782,15131,3631,3461,14725.5,4895.5,4575.5
96238,10888,5348,49724,5794,5124,29212,5552,4282,7341,2951,2701,13595.5,5195.5,4905.5
95708,2978,6158,49194,6444,5694,28562,4072,5122,17451,3261,3011,12055.5,5025.5,4675.5
95108,3678,6708,9074,7214,6454,7902,4852,3602,16541,3701,2271,11025.5,5395.5,4955.5
11578,4368,7518,53194,3484,7294,30372,5512,4382,15651,3021,2851,14455.5,5145.5,4725.5
98978,5068,8328,52564,4254,3414,29742,4022,4962,6711,3331,3081,13815.5,4885.5,5015.5
98368,5758,8908,51924,4904,4184,26962,4672,5722,17961,2641,2351,12295.5,5245.5,4775.5
97828,6448,9478,7524,5564,5014,8562,5452,4202,17071,3061,2921,10745.5,4995.5,4535.5
13808,7148,10268,51644,6334,5584,30932,3972,4772,15051,3381,3161,14675.5,4815.5,5085.5
101198,7838,11098,51014,6984,6354,28182,4632,5542,7171,2681,2421,13415.5,5145.5,4855.5
91908,8518,2988,50354,7644,6934,27532,5272,4012,18391,3131,3001,12495.5,4885.5,4615.5
91298,9138,3818,10214,4044,3294,9102,6052,4842,16361,3451,3241,10985.5,5235.5,4905.5
7898,9838,3808,54334,4684,4064,31572,4582,5602,15461,2751,2501,14285.5,5095.5,4665.5
95288,10558,4648,53804,5454,4634,28812,5232,4082,6541,3201,2831,13635.5,5435.5,4955.5
94678,11278,5178,48804,6114,5474,28162,5872,4652,17771,3521,3381,12135.5,5155.5,4705.5
94148,3238,6008,8644,6764,6234,9762,4402,5442,16891,2831,2621,11205.5,4985.5,4475.5
10648,3948,6558,52764,7534,6804,29992,5172,3922,14721,3281,2901,14635.5,5205.5,4755.5
98128,4658,7348,52124,3814,7384,29442,5822,4682,6941,3601,3451,13395.5,5065.5,4785.5
97468,5378,7918,51604,4584,3954,28792,4352,5262,18151,2921,2691,12385.5,4845.5,5075.5
96868,6078,8708,11474,5244,4524,8122,5002,3732,16121,3361,2981,10875.5,5215.5,4835.5
13478,6768,9278,51204,5884,5364,30602,5782,4502,15241,3681,3531,14815.5,4965.5,5125.5
100828,7468,10068,50654,6654,5884,29982,4302,5332,7431,2971,2771,13555.5,5315.5,4885.5
100208,8158,10648,50014,7304,6724,27202,4962,3812,17511,3291,3061,12025.5,5035.5,4675.5
90948,8848,2788,9844,3734,7224,8792,5592,4312,16641,2711,3611,11035.5,5405.5,4985.5
7558,9548,3358,53964,4394,3604,31172,4122,5152,15621,3021,2851,14455.5,5155.5,4725.5
94928,10228,4148,53324,5054,4434,28392,4902,5732,6871,3461,3131,13845.5,4975.5,5035.5
94398,10918,4978,48394,5714,4934,27862,5552,4382,17951,2781,2371,12305.5,5335.5,4775.5
93758,2878,5528,8374,6474,5774,9322,4072,4952,17041,3101,2921,10785.5,5125.5,4565.5
10338,3578,6318,52374,7124,6344,29692,4722,5792,15011,3531,3211,14725.5,4835.5,5085.5
97728,4308,6888,51854,7774,7114,29062,5502,4202,7221,2861,2441,13445.5,5195.5,4875.5
97078,4998,7678,51224,4174,3494,28382,4032,4772,17341,3171,2991,12545.5,4905.5,5135.5
96538,5708,8248,11074,4834,4064,9992,4672,5602,16431,3601,3281,10995.5,5265.5,4915.5
13038,6298,9038,55204,5594,4854,30212,5312,4012,15521,2931,2511,14425.5,5105.5,4655.5
100528,6998,9608,50184,6254,5684,29552,6102,4582,6631,3241,3061,13775.5,4845.5,4995.5
99868,7708,10398,49664,6914,6194,28942,4622,5422,17861,3681,2331,12235.5,5175.5,4755.5
99258,8418,2328,9524,7674,7024,8382,5272,3832,16821,3001,2641,10735.5,5045.5,5045.5
7128,9138,3118,53624,3954,7604,30872,5922,4682,14931,3321,3211,14555.5,5285.5,4805.5
94628,9858,3688,52974,4714,3914,30232,4352,5192,7021,2631,2401,13365.5,5105.5,4835.5
93998,10558,4498,52364,5374,4744,27322,5022,3932,18271,3081,2721,12475.5,5435.5,5125.5
93338,11258,5278,7954,6034,5314,8792,5682,4502,16141,3391,3291,10925.5,5155.5,4885.5
9948,3208,5848,52104,6794,6074,31272,4202,5262,15221,2701,2481,14345.5,4995.5,5175.5
97408,3898,6638,51484,7454,6644,28482,4992,3732,7451,3151,2791,13685.5,5335.5,4935.5
96778,4628,7218,50824,3844,7494,27852,5662,4312,17561,3471,3101,12125.5,5065.5,4695.5
96148,5348,7998,10724,4504,3794,9442,4202,5072,16631,2771,2561,11105.5,4885.5,4995.5
12728,6038,8578,54824,5154,4634,29692,4852,5912,15731,3091,2871,14535.5,5235.5,4755.5
100118,6738,9368,49914,5914,5204,29042,5502,4382,6811,3511,3191,13275.5,4955.5,5035.5
99468,7428,9938,49034,6574,5964,28522,4032,5152,18041,2821,2431,12385.5,5315.5,5065.5
98938,8108,10728,8874,7234,6544,7882,4822,5742,16011,3131,2981,10845.5,5135.5,4815.5
6798,8808,2678,52984,3624,7114,30272,5472,4152,15121,3571,3271,14805.5,4855.5,5105.5
94188,9498,3488,52354,4284,3424,29732,3992,4992,7321,2891,2511,13565.5,5225.5,4865.5
93638,10188,4038,51824,5044,4004,26862,4672,5562,17441,3211,3061,12515.5,5045.5,5155.5
93018,10888,4858,7294,5704,4834,8462,5342,4232,16531,3651,3351,10995.5,4865.5,4915.5
9498,2848,5398,51414,6354,5594,30942,3892,4802,15521,2971,2591,14405.5,5085.5,4685.5
97008,3568,6208,50874,7114,6194,30312,4562,5642,6731,3281,3141,13755.5,4955.5,4975.5
96398,4288,7018,50244,7774,6954,27532,5232,4042,17861,2591,3421,12245.5,5295.5,4755.5
95738,4978,7568,10064,4164,7524,9022,6012,4872,16961,3011,2671,10735.5,5005.5,4545.5
12338,5668,8378,54184,4824,3904,31502,4532,5442,14911,3461,3211,14665.5,5345.5,4855.5
99718,6368,8928,53554,5484,4674,28742,5172,3852,7121,2761,3501,13405.5,5185.5,4835.5
99188,7058,9738,48654,6244,5244,28132,5822,4682,18351,3081,2741,12505.5,4935.5,4625.5
98538,7748,10308,8494,6904,6074,9602,4352,5262,16331,3531,3291,11005.5,5285.5,4935.5
15128,8448,2478,52614,7554,6584,29972,5132,3932,15441,2841,2531,14295.5,5005.5,4655.5
93878,9138,3028,52074,3944,7414,29312,5782,4502,7521,3161,2821,13655.5,4845.5,4965.5
93258,9818,3838,51444,4604,3804,28662,4302,5332,17631,3611,3361,12135.5,5205.5,4745.5
92608,10508,4388,11264,5144,4304,8132,4952,3742,16731,2901,2601,11205.5,4945.5,4975.5
9208,11108,5208,51014,5794,5164,30502,5732,4582,14701,3221,2881,14625.5,5285.5,4765.5
96578,3198,5738,50504,6464,5924,29962,4252,5152,6921,3551,3431,13345.5,5005.5,4575.5
