TEST 1,TEST 2,TEST 3,TEST 4,TEST 5,TEST 6,TEST 7,TEST 8,TEST 9
132.46036,193.45859,46.67568,125.06143,189.80183,245.95406,93.18721,36.63336,83.52647
131.94003,182.30063,29.40289,124.93633,186.97756,240.19979,90.98805,34.19535,78.07759
135.69341,179.81543,27.76522,127.5829,188.10586,242.06608,98.05275,34.8494,83.44137
135.40387,179.10771,28.41763,124.7945,191.73172,242.33495,92.09713,37.76507,78.74709
133.77303,190.44836,27.58608,132.6461,189.12625,244.0272,92.97045,35.30632,79.3952
135.63007,182.40856,27.38539,128.83437,186.44683,245.38115,89.61017,33.09203,81.77105
132.59824,179.85698,27.41884,128.29747,188.8939,240.53999,93.19357,32.4323,82.086
135.00935,185.24016,31.52827,129.3959,185.59363,247.25929,93.41799,40.08089,79.25091
137.82406,178.70972,29.49404,126.65913,190.21183,242.76249,91.35346,35.9303,79.65156
136.81906,180.18646,33.51961,130.32446,193.63362,244.30558,93.74183,34.65734,82.51412
137.0295,183.5759,31.88652,125.41707,188.87651,244.19129,94.10932,39.68703,81.07435
138.94489,180.87075,27.75881,127.24921,188.252,240.78418,93.90053,33.85606,82.25707
131.81602,179.04073,31.13028,129.99683,185.61988,242.61303,92.32049,34.04737,77.69713
132.57761,179.51762,52.03466,125.78745,186.47912,242.92854,90.39367,35.90107,83.64428
137.69047,191.49213,28.23893,124.82752,190.93214,240.62245,92.43029,34.50426,87.91998
131.92536,180.20518,28.89847,127.21792,188.59697,240.30334,90.06532,36.08898,81.84666
134.63801,180.87475,31.66083,130.14826,193.62269,242.89872,93.87907,35.3673,77.73495
133.38598,180.15854,31.52506,128.10368,187.14583,241.45471,89.93603,42.04286,86.038
134.6965,186.2386,28.57851,133.88511,188.66912,245.7025,92.79359,34.05087,84.904
136.10465,182.54181,33.67723,126.1704,185.94613,239.93332,99.79192,34.81498,79.675
132.91014,180.96179,29.64846,126.83081,185.76493,243.9692,92.19095,32.64631,88.88542
135.97377,187.10131,31.37279,130.13659,187.5228,240.95305,93.11933,33.27201,79.28003
135.59535,196.87679,28.01731,127.07072,184.79223,245.62667,89.55789,32.89438,79.62628
139.02463,185.10078,27.78866,125.78903,185.38591,245.19044,90.17552,33.3549,78.75371
134.11806,180.27769,33.96117,127.57733,196.25185,244.53185,97.01915,32.15503,81.29898
133.5441,182.25962,29.09342,129.42477,195.73778,250.93974,90.99327,32.39184,78.50919
132.89344,179.4118,45.12455,129.74924,187.41014,243.8536,93.27169,37.33307,81.17636
136.38362,183.67124,31.32732,128.95065,190.43907,248.38664,90.66915,45.58342,79.44111
137.89214,184.79391,27.63461,128.31647,190.4029,240.9035,101.43605,33.89246,80.93832
135.68965,181.53408,31.99399,131.87315,187.48899,241.90265,134.62402,34.73803,86.11799
137.95139,181.49103,30.14151,131.36488,186.37032,240.92183,93.62028,32.05142,85.85951
135.89938,184.2367,29.69877,127.93407,188.54401,240.73057,92.77162,32.54105,87.37249
134.70768,182.75288,27.54719,128.38325,185.34712,243.69798,93.62905,37.74842,79.1679
134.52209,181.31863,29.00764,126.61881,188.83946,241.13392,91.6393,34.27787,81.57175
133.4205,180.95814,33.54393,128.55534,188.55483,242.4428,93.49493,35.71399,79.42965
134.40897,183.41993,28.81943,129.53451,188.90021,249.24899,90.56827,36.04664,82.2161
136.4972,179.19985,32.77387,130.10209,189.94205,241.79148,100.23672,42.79647,81.5654
134.65462,181.01711,30.28616,125.99932,189.26687,240.64284,93.49686,33.51888,79.11817
136.78668,186.35863,34.14168,132.60222,187.33242,241.98292,95.50022,37.62627,80.23664
133.77045,181.2639,29.33009,143.30183,191.9972,241.46269,96.76336,35.42588,79.21466
137.99697,180.68897,33.98834,126.19496,190.88504,241.5311,90.51938,42.75312,77.65957
135.03603,182.18637,32.02682,125.40483,189.35438,241.40625,89.37119,33.52695,83.96184
139.14875,180.19014,278.47374,129.39034,190.9594,241.10988,91.71905,33.81534,80.17108
136.82675,179.62998,35.58997,129.09851,185.50425,243.64417,95.92153,35.38657,82.83214
135.74429,184.42789,31.10199,127.88818,187.38714,242.81571,93.72749,39.38894,80.19243
132.24159,182.52821,27.78139,129.67447,190.42439,242.99698,92.69995,47.00831,79.99515
134.20742,181.74326,28.26491,126.49423,189.73042,242.60428,94.19245,35.76018,79.27468
134.65441,192.63243,29.73833,133.36689,190.8132,241.35395,91.77678,38.98192,80.26914
135.11415,180.768,30.13662,125.08699,187.55844,243.08426,94.71862,34.32737,83.38102
136.1076,184.85441,28.06394,127.26297,190.20952,243.80532,92.4249,35.75063,77.79071
136.55057,184.8642,30.60747,126.71843,193.50703,246.13521,93.38537,33.3269,79.17109
134.15629,182.68559,33.19925,130.23897,188.35437,249.10643,91.13577,33.39723,80.72584
135.49234,182.86615,31.0783,134.75923,189.43416,252.26858,94.34009,36.7274,80.66146
135.54174,181.27434,29.5486,126.35054,188.25255,250.59508,95.09071,40.93175,84.30314
132.74828,185.2014,28.6161,130.3473,187.38164,247.65183,95.13761,36.89793,80.06667
136.75947,185.46574,29.99444,130.54809,187.87673,242.0102,92.27242,35.50265,77.68409
134.94473,194.25393,27.73883,126.81825,188.96908,247.58338,94.70591,32.85507,82.81965
140.30322,192.07446,28.36227,126.14829,193.25058,243.70036,91.52316,31.88938,80.86078
139.25481,181.54627,29.97772,125.19754,186.66337,245.53429,91.86258,32.5391,81.56301
137.13531,184.87713,30.08455,126.9888,194.18124,244.17668,95.79088,35.1295,77.80182
135.65936,181.72107,33.97171,126.49738,190.13727,241.39301,96.00225,34.10896,81.74049
137.12379,181.91937,32.44886,127.18072,187.73758,246.16645,92.80084,39.07492,82.34275
136.1698,182.39744,31.7703,125.94999,187.04765,245.69102,97.24164,32.4999,80.67759
135.42542,187.35818,33.91669,127.31842,188.39404,244.91723,89.74029,31.30956,87.11902
139.29462,186.53051,32.08811,130.98398,194.43197,241.72066,95.95108,36.68687,77.80944
