TEST 1,TEST 2,TEST 3,TEST 4,TEST 5,TEST 6,TEST 7,TEST 8,TEST 9
146.67138,182.52418,32.12191,134.34027,188.92403,241.44319,92.41934,39.05291,84.44434
145.81906,184.16013,32.86132,127.34059,188.10215,243.95246,94.02413,40.48426,87.46711
148.34825,185.28676,33.35868,127.85055,192.31233,245.76327,92.61867,35.63891,79.53495
151.11997,183.76051,29.20318,129.18499,194.21996,244.25321,92.20789,37.2202,82.41828
145.27622,181.3744,32.05542,126.95334,191.87611,243.81468,91.82147,39.4134,86.74222
146.03319,181.10929,32.35884,128.89568,192.31898,243.93497,98.06478,33.8307,83.45266
146.41159,182.29951,30.97435,127.42309,187.11632,250.2762,95.47366,37.71025,84.52544
148.18257,185.64377,29.13983,131.37386,190.45141,246.27827,96.59312,32.88215,84.66514
145.23831,185.59008,31.78916,129.28373,186.75392,245.96797,97.30427,37.45309,84.64926
144.71406,180.96648,40.33921,126.37769,187.44399,246.21952,98.00839,37.30921,88.01607
147.49349,182.8718,33.23814,125.76964,187.22525,246.74843,92.67372,37.29481,82.49101
158.03395,180.87416,285.45798,127.67204,187.3372,248.8428,93.60824,34.90618,82.05838
145.66128,185.21047,58.93021,126.28102,196.75105,245.02361,98.14555,32.98174,85.50242
145.49623,181.53722,37.16816,128.65972,188.46003,243.35924,92.90285,34.77726,82.68376
150.51494,181.52351,33.66553,126.08017,186.83059,248.86057,94.40736,39.208,87.26718
145.97302,182.89575,32.34006,129.01147,188.79619,241.50255,90.95343,36.65432,85.10963
146.4188,185.18018,32.34131,128.2821,190.76723,242.18648,92.54077,32.76496,89.81203
145.91893,194.86325,30.99772,138.33248,187.39107,246.7246,96.72076,33.39821,85.20082
143.99861,181.12874,29.73409,129.44468,190.32868,241.71646,96.07188,38.55088,86.46472
151.0616,183.59358,30.68742,128.1111,190.0116,243.96757,92.18635,32.84827,81.10341
144.43528,183.49053,34.58287,127.63664,194.53545,243.87985,95.61373,35.65192,83.84209
147.78229,180.58736,30.96631,133.6409,190.58893,244.33998,94.35302,34.82771,94.3436
145.78158,183.55196,30.69773,130.75939,191.15573,253.35689,98.16422,41.27037,86.47707
144.68485,183.01987,34.35621,133.40903,187.31366,251.04478,98.89697,37.76927,83.24775
144.4494,185.89543,32.43244,128.09715,192.25751,243.68258,95.26594,33.27793,86.50586
150.61029,190.44634,31.94788,133.83395,189.80647,244.35378,97.37039,34.2622,84.73992
143.44056,185.03167,29.53914,127.3159,194.23211,241.91582,92.43369,37.76676,81.42354
146.8064,183.59466,31.07781,129.33131,194.43749,246.55256,92.19658,36.33323,84.32404
157.85858,185.51058,31.44019,128.4127,187.72352,243.98563,91.10289,40.40953,81.74814
144.79729,192.27733,32.21413,131.52508,203.47838,246.13808,91.72322,38.54231,82.58228
150.62103,186.98061,36.6711,128.03843,189.07673,245.57382,99.6056,35.17842,84.53131
146.93995,180.87272,29.44543,131.04178,191.7186,246.5302,91.44516,44.52233,81.82765
146.08441,185.06693,32.76188,128.25821,190.3797,245.80265,91.66376,33.55407,79.95446
145.47682,185.72382,42.5474,129.73121,191.68798,242.93887,92.41906,33.5553,83.86977
145.64358,184.48376,30.04359,137.84792,191.92396,245.64588,98.91821,33.23896,79.25628
145.94453,182.48987,34.88712,129.05329,191.6318,245.79986,92.65256,37.13036,91.68717
145.5812,181.39675,30.59128,128.30589,192.44463,242.87769,97.09295,37.58094,84.47614
147.17117,183.68706,37.87801,131.2431,193.53149,249.51765,92.89637,34.20339,88.4972
145.2706,189.5308,36.72728,126.97355,197.61383,244.44601,95.65494,33.42701,88.40468
150.68122,181.50279,40.61059,127.98382,188.81996,256.30038,91.84817,37.42876,85.27359
143.34545,184.33671,35.42906,127.60629,191.20871,249.03512,98.85493,34.31841,84.00241
145.44661,181.71603,33.39149,128.68874,188.01767,245.12509,90.6728,34.37821,81.46582
144.1212,184.60946,32.32982,136.38108,190.31887,242.59912,91.89222,36.0368,86.45365
147.40034,183.8427,29.49933,128.70854,190.4839,243.75607,95.73872,39.68522,83.68544
149.74626,181.88057,29.05672,128.16548,188.59774,246.77815,91.62916,35.07698,83.24099
144.39165,183.50706,32.41073,127.33823,190.63917,246.17342,95.75158,35.04131,81.88855
143.64365,184.65879,31.87091,126.61064,192.44287,249.0752,92.45597,35.12703,85.53782
144.85035,187.97746,37.18219,132.76604,186.958,244.65064,95.69247,35.26885,80.01567
147.72743,182.00561,30.21932,132.05043,192.58436,243.70358,96.46268,38.3071,79.9065
147.65676,182.89118,31.45865,131.57789,187.12002,243.93636,92.34999,35.93447,84.11182
146.22913,184.63987,33.91414,128.84176,191.23794,243.6733,100.69353,37.10903,82.88335
147.08633,191.0882,30.26658,131.9833,189.87291,245.04425,93.8137,33.78844,81.20465
144.53732,182.32269,30.93676,131.34755,198.13673,246.40569,92.1023,34.69107,84.4466
143.89621,184.1381,30.9134,126.88127,193.93449,242.98854,91.3998,46.51437,82.55419
149.08196,186.26985,37.18672,129.23075,193.66137,241.88435,95.88433,33.65905,82.04319
144.15533,181.08892,33.03565,130.89399,190.65893,246.92573,93.56171,40.92615,85.55998
145.80934,182.40577,29.3576,133.63147,189.16686,243.44115,100.85702,33.77251,82.3522
144.27076,181.49204,35.89398,129.29989,191.68711,247.16036,103.16054,34.89846,81.90082
145.16309,183.91482,33.71935,128.22724,189.82208,246.31039,93.75562,32.89204,80.0745
150.96119,184.26037,31.06487,127.95154,189.10801,242.8893,92.18294,35.37561,86.74314
148.30219,181.72569,33.82503,133.65537,190.68482,243.81781,98.46406,36.74818,90.31762
144.66041,182.83616,33.89361,132.31843,191.0722,246.46976,95.64491,34.11345,83.70815
151.14058,182.58494,33.7221,127.64995,191.32513,246.35259,93.47357,34.80816,90.74495
147.46323,184.30992,30.76029,128.10203,190.92799,245.19463,95.54577,36.6415,82.00242
144.80824,182.66771,33.84582,130.39066,189.46897,243.06353,98.51532,36.91065,80.10479
153.10265,182.85607,35.47529,129.87709,187.5074,245.72858,97.17262,37.2587,82.54289
143.5631,181.92184,34.18749,131.15249,187.8193,249.20842,106.23395,40.66215,85.90667
143.64116,186.09083,34.93103,127.31254,190.76317,255.92352,96.15125,33.4147,84.06749
148.01776,198.31703,36.7894,126.95079,188.45899,255.53097,91.70051,36.46522,82.5878
151.81346,185.45019,36.93079,126.76663,189.22602,258.09594,94.8798,35.08859,85.22771
145.29751,183.63383,31.89726,128.279,200.19212,254.5778,94.66657,33.17013,81.52435
145.0802,182.20092,33.19218,126.8483,187.07724,13.89865,95.45909,34.51145,82.10342
146.38828,183.61971,31.62253,128.99383,187.8588,255.70213,93.67926,34.27073,79.95884
148.43472,182.90603,51.09863,134.16835,187.38253,252.99683,94.16685,34.82944,81.41784
147.10208,184.52188,31.92289,126.27258,189.44843,262.87823,96.42444,41.06731,82.90557
147.73426,183.56785,30.50826,133.75813,188.2743,260.03034,107.63064,35.79767,80.41785
148.54777,184.23769,30.49263,127.09591,193.79273,254.29109,95.37368,34.08326,79.93957
144.89476,181.52785,38.35212,139.33873,188.11965,252.6271,96.17951,36.16165,80.69406
145.46034,182.67003,29.55032,129.21317,187.71303,254.02948,92.56486,33.19334,89.59042
150.93903,181.03886,29.85284,128.00117,198.15035,257.11626,94.62019,34.84166,84.01045
147.20024,185.12149,33.54172,128.456,190.44947,253.85417,93.20559,34.82537,82.89968
145.42889,186.08022,37.41554,129.62626,189.90057,259.30848,97.47892,38.03413,82.53306
148.32003,182.08984,31.61201,128.67219,189.49553,258.46949,91.89262,38.4804,81.37967
146.98932,185.63645,29.64253,128.09911,191.62299,253.41172,92.41535,36.67372,80.77995
151.91387,183.94706,39.20486,127.43751,195.84415,259.32837,93.08289,38.86836,82.97201
143.81013,182.17609,33.71027,131.91304,189.71765,259.33479,92.51313,35.68985,83.30517
146.8065,183.6139,32.29052,128.6644,191.59442,256.88702,92.63774,42.34928,91.67486
145.11954,182.7509,32.10108,128.36011,194.06582,257.93227,96.29035,33.42885,82.69267
146.79668,184.09276,32.6671,132.48309,192.86275,252.48525,95.25922,36.44839,81.38654
144.25862,184.05508,31.16926,133.85174,188.82662,257.21301,94.41609,35.99272,80.37422
144.95664,183.40881,29.68715,130.52703,190.53764,256.05538,97.82029,39.17797,82.98184
144.45932,183.33778,34.16734,129.40655,187.51348,253.28793,96.25806,40.82665,86.13314
144.81476,209.15842,32.83612,129.40272,187.04335,253.23026,94.92207,35.26736,81.97639
144.58186,189.54167,30.6425,132.40657,189.06582,255.85026,95.80448,38.4709,81.72226
146.3221,187.38973,30.47581,127.02446,189.29752,252.58926,95.82827,35.13842,89.76881
