1024B,128B,12B
13.94217,13.79659,2.86178
8.56359,14.47631,4.35335
6.69049,11.64586,5.74389
21.5984,15.12647,8.25866
6.8427,10.05363,11.52412
14.80543,12.54034,2.28153
7.23739,12.2608,2.22305
11.31319,14.29713,6.27919
9.57338,13.78157,3.01282
9.23742,14.06074,4.32655
9.71369,15.47963,6.59545
9.2425,11.74508,5.28896
9.3076,11.67069,5.5552
11.24052,9.09908,4.85532
9.38052,13.55809,5.6847
13.55917,14.33658,4.62916
8.14328,14.44905,9.85369
12.01026,16.27302,4.17902
8.71443,14.16077,3.99228
11.99437,17.60888,2.25965
15.89227,13.83576,2.94881
8.82846,12.51381,7.79431
8.18622,8.64152,2.66988
8.14803,13.95112,2.43737
15.3535,13.31377,2.37551
16.20301,8.48159,4.25245
10.1284,13.02789,2.39005
10.96656,17.74998,2.6028
11.68807,13.70888,3.20265
9.48189,14.80371,16.67458
9.08368,8.76479,7.85658
17.95001,14.48246,14.8504
11.42671,16.23513,2.54893
11.98038,12.07159,4.19694
9.39154,12.45827,2.76848
9.63787,12.17075,3.01628
8.8816,17.72098,6.9294
18.0267,11.88305,2.36878
7.76488,13.49321,2.61328
8.36781,13.43872,2.4193
7.02339,13.02961,2.30474
8.32795,14.13914,4.45606
8.64463,15.40815,13.59316
14.91245,13.15102,12.80175
8.53154,12.26405,6.19939
8.08684,5.76201,3.06916
12.18222,2.3009,3.06817
7.74296,7.88438,13.60781
6.87165,5.26593,7.77312
17.31908,2.6303,5.9337
6.99851,2.59732,4.20948
9.89202,4.88664,3.98742
14.93909,13.00034,4.28665
14.52031,6.54356,3.11585
18.1176,4.49425,5.22269
11.63057,2.08152,10.32485
6.9218,3.58948,4.6057
7.70259,2.16798,7.92807
7.77372,3.5228,4.61858
11.34953,3.31304,4.18083
8.85585,3.00998,4.27211
11.20104,3.04857,3.79756
8.27234,3.31159,12.72859
10.92411,8.05798,6.95317
11.60355,2.39637,4.57175
15.08253,4.30238,4.75713
7.14043,10.16423,6.39126
19.34401,3.47245,4.96854
7.1747,10.84713,4.45558
14.98826,3.47967,4.30473
11.79431,3.74535,2.61838
14.99465,9.28905,2.65128
14.99742,2.00026,2.96746
7.79632,2.6808,2.79469
12.46395,5.90486,2.52628
7.80577,9.04977,4.26905
7.33464,2.04282,2.59614
8.34996,7.04127,4.54364
15.0175,7.84038,4.40268
9.81889,2.00164,7.46192
13.07023,6.93808,13.35613
19.83969,2.90297,9.91119
8.68726,2.11908,4.10249
11.29422,3.40258,5.91966
9.01732,2.64485,2.61386
7.93283,6.553,4.11602
9.33722,4.37408,4.34898
8.2792,7.0258,3.23675
9.89558,7.66156,2.95222
9.6383,3.19655,4.90047
9.58571,6.82678,5.73657
15.0503,7.92289,6.00964
7.37595,4.6327,2.71702
8.18202,4.54905,8.15932
7.67039,5.17836,5.28689
8.44421,4.51112,4.48467
14.61593,4.8383,4.4127
7.81171,2.35336,6.86516
8.25481,4.85705,7.4389
13.58034,4.01751,3.89864
9.01634,4.78345,3.1531
16.80806,2.11326,8.33235
