1024B,128B,12B
4.37922,7.26012,12.83878
5.38534,13.80176,14.73059
13.07989,14.32847,18.85478
7.16308,12.32955,6.23226
5.52391,8.49792,7.61697
3.77442,12.64172,15.56588
10.80697,8.03334,7.26662
3.97249,6.2207,13.01751
5.48815,17.29265,20.15171
5.94428,12.79297,11.91638
4.00485,8.27137,5.57496
3.95246,11.61837,5.62004
9.47323,14.15678,15.5573
5.59231,12.93346,13.81496
6.83694,8.35732,15.71726
7.87914,13.20612,15.76245
10.36125,11.70094,5.71634
4.76148,6.59303,12.84756
7.37902,12.43339,8.11426
11.51641,16.63705,16.69291
10.55937,10.97165,5.39968
4.29375,13.65387,11.19728
4.30953,11.83094,20.50731
4.12118,13.44006,7.4886
6.59501,13.64409,9.12281
4.3314,13.46481,9.74564
13.38303,6.38154,10.70264
15.91213,14.50988,17.92634
9.45085,17.07435,12.96046
9.07612,13.85356,16.22707
15.63516,10.82448,7.46624
11.72844,13.68918,5.85781
19.87935,13.48194,20.30561
10.55091,13.29363,6.02776
8.94751,13.713,18.91235
8.25794,14.14943,11.33924
11.5943,12.19171,9.0488
13.50017,8.65349,14.24266
7.79735,11.57427,7.85368
4.19031,8.25314,13.80533
6.28797,4.68296,9.63545
4.29119,11.7293,17.00636
11.04489,17.20953,18.30283
4.68837,12.36638,12.42393
4.37609,7.67283,6.06149
6.49634,17.62945,12.74739
13.75186,11.06183,10.88522
13.4795,6.74378,12.65041
6.32236,12.05825,16.99562
11.34726,13.95191,7.4472
3.95493,7.87407,10.20894
5.93195,15.1953,17.64794
9.87474,14.35093,7.04575
11.52749,12.12154,10.32163
5.28419,11.2887,8.28024
11.62054,16.21637,6.4426
11.04933,14.69283,10.21176
6.6343,10.66629,11.59598
6.09798,12.97114,5.92813
9.08187,7.25232,16.12961
9.01324,8.77067,16.01689
6.23727,13.21227,20.71432
15.20519,12.63441,18.38845
4.21185,13.86333,8.70387
6.72998,6.47037,5.81212
7.21347,13.01101,13.1409
9.00019,12.67543,10.2552
9.34501,7.53499,13.30375
8.60383,8.21757,11.24824
11.80716,13.81872,16.75043
10.17732,13.25843,7.9036
4.05184,12.55029,6.48284
9.04645,13.9587,11.46787
8.79339,7.51856,5.86099
6.1057,11.10756,13.59801
5.82444,13.97682,8.61812
10.18374,11.75235,6.03494
7.13978,6.90539,13.27081
9.02669,14.08091,10.41468
12.05547,6.56334,11.77512
4.21498,19.78488,6.08939
6.49309,13.10223,15.85897
13.57916,12.88945,17.14285
8.66703,13.43975,11.45082
4.3632,12.06655,6.81028
4.01569,13.34262,12.18538
12.70672,11.64335,5.88289
7.28205,7.95325,11.22759
3.96421,13.66778,12.17344
12.55691,11.86139,15.28199
7.4303,8.49821,5.95577
5.1217,13.86792,5.69072
9.10825,12.22904,5.96857
14.29764,11.84147,6.76969
10.9611,7.5859,14.47928
4.98841,13.56538,8.00093
14.10521,14.1398,13.0831
8.93701,13.87997,11.24218
4.12016,12.41369,8.36369
9.33158,7.70211,18.57716
5.65873,7.63552,6.01162
5.9091,12.25896,10.99844
12.07265,12.81229,12.71319
13.56913,13.77827,15.04923
13.73415,7.10937,11.07678
10.20228,11.89788,18.54482
6.94956,9.44164,5.93305
4.88906,8.88384,11.33158
6.10334,15.21699,13.67566
11.74198,15.4533,12.1616
4.68623,6.61634,6.20833
6.22956,13.73043,11.50321
12.74609,9.94219,15.73414
5.09474,7.30506,7.50829
5.3483,7.51253,13.74186
4.43805,11.95858,10.21603
10.94835,17.20192,5.9806
8.78974,6.83443,16.07889
13.0276,13.26287,14.41783
10.92391,6.91021,13.47174
4.4146,8.90556,8.14799
5.84646,14.78524,16.20337
12.82518,15.35496,11.45973
5.62342,13.73609,9.41702
11.28735,6.58574,7.97669
8.41815,12.84891,16.14923
11.23863,7.06458,20.48524
5.9038,8.72035,22.83477
5.5492,12.0426,12.83759
17.08133,11.91688,18.1491
6.56942,7.57897,9.04127
7.27797,12.29605,5.73982
11.70684,4.69928,17.1284
6.16894,8.2571,6.20912
8.93835,13.98651,16.34538
4.83922,4.30063,18.17818
9.54393,5.25333,18.20389
4.6619,4.17031,17.60213
5.38351,5.12454,8.21768
11.4127,7.97179,12.6634
14.57374,6.96467,7.27131
9.03134,3.66011,14.68325
9.91373,2.75756,6.73253
4.88132,11.17084,10.73465
5.78682,9.90286,9.52923
5.97912,5.6642,16.74311
12.07622,4.37693,8.19239
5.22974,7.5108,8.75756
8.97686,4.99106,13.48423
12.60917,6.13358,8.62803
7.19002,4.33994,6.5811
4.59691,6.89714,10.91069
11.09276,5.40755,11.60963
7.21791,8.11339,8.14326
7.9215,3.94966,18.20207
4.6144,4.36123,12.65149
5.38915,2.33178,17.07529
13.22662,6.84604,18.5506
6.09069,3.35177,8.50494
11.30184,6.41631,8.06928
11.67605,2.11191,8.5047
6.31856,2.25939,13.22188
10.96963,3.40373,12.73852
9.57496,3.83995,6.18013
10.80643,9.44942,10.97286
4.61003,4.39927,10.77471
4.33427,8.4099,16.76639
6.75481,6.92701,11.42323
7.82436,3.98434,16.60663
14.16874,9.40987,16.5819
5.91385,9.2902,7.15179
6.47831,14.09458,10.16477
10.6863,2.39335,18.74383
6.20488,9.0156,8.88241
4.40478,7.03942,16.05897
5.74098,4.3093,19.18866
11.74876,3.34704,13.91485
5.2675,6.98207,7.9697
4.91744,4.22917,16.28034
11.15967,7.32619,16.19248
5.86423,9.9015,7.12662
5.26494,6.95982,18.13137
10.9453,8.19064,16.34513
5.81403,21.80499,14.71273
4.65191,7.5933,10.66667
4.32567,4.32175,11.81162
12.19693,9.61618,17.89391
6.12063,7.22493,11.86997
6.24578,3.29219,12.6274
9.33719,8.59013,11.7291
6.92672,9.82961,10.10281
6.70077,11.49385,8.68739
11.57657,2.24539,20.20618
8.3593,5.86017,6.51733
5.31628,11.17478,17.28486
4.37663,4.97887,16.46681
11.57491,4.10903,21.22684
11.30775,11.8086,6.65076
6.47,2.8671,8.94385
12.04282,9.51288,11.8561
10.20729,12.32657,6.42019
9.44421,9.92256,15.59616
12.18375,8.74024,7.64382
4.91867,4.7487,6.52616
9.38375,8.45215,7.92401
9.5443,4.5973,12.60841
12.71299,7.1779,13.87008
5.6657,14.19826,8.39625
9.2278,4.11104,11.58768
9.66122,3.11901,16.24269
7.49203,4.20982,8.42179
12.63012,8.66825,11.84893
10.08286,3.43099,14.79644
6.57205,13.06875,6.23793
6.87449,4.22015,15.41411
6.53542,3.99952,11.4639
10.56156,10.58121,16.59258
6.27217,9.74059,6.40487
5.18465,4.48802,6.45955
14.78883,7.95667,13.24705
7.01513,2.28022,8.95776
7.41398,14.23833,14.11335
10.52808,2.50223,17.52896
7.26718,3.35333,6.78783
5.3585,9.56074,7.55329
7.16593,3.13832,12.04323
5.48502,11.63922,18.85166
5.63332,10.77397,8.64505
6.88543,6.85337,19.33078
9.6439,4.22435,12.85509
8.37687,8.33275,6.58439
5.44689,2.46106,7.80182
16.80608,3.67274,12.60482
11.38236,7.37483,9.2172
8.21239,11.68111,16.63835
13.07001,2.45428,13.6368
10.33959,2.50256,11.74581
6.46802,7.63096,6.92334
7.29266,5.07218,16.16512
10.43158,7.31568,19.60958
4.98565,3.33216,15.88793
4.81472,15.93908,13.2568
14.04529,3.28167,16.39791
14.87075,5.15476,8.83668
9.37922,7.36822,6.41778
5.97916,6.56761,20.96522
10.41104,9.03351,13.80541
9.44285,12.20022,8.16385
4.79828,3.33078,8.73942
11.03317,11.81945,13.58527
5.00692,14.32379,8.10306
5.71948,7.51503,9.35352
12.10598,5.11193,13.32506
9.30552,7.1522,16.54609
11.88017,7.49067,14.15871
6.72989,2.14197,21.48021
12.91657,4.87352,11.92521
11.40398,8.12014,11.98439
12.42224,5.18197,8.49185
14.06395,8.81146,16.50596
10.25987,7.38283,8.30722
7.07516,9.22006,16.17696
9.62668,5.00093,18.86632
13.39301,3.60764,19.86292
9.19425,8.14423,6.49738
4.91306,3.03899,12.17504
10.99338,7.30431,21.50104
12.3572,9.62917,6.79769
8.47724,7.37482,14.01294
17.11343,4.68127,20.64703
6.85217,10.63209,7.01721
4.77649,5.39315,8.64236
9.89574,2.61475,16.85676
5.27377,8.86687,6.84839
5.7135,7.70771,24.97643
4.91977,5.4006,11.42598
14.3948,5.88289,8.58418
5.1099,10.52394,6.61562
4.95905,4.09512,6.94859
6.49879,10.80075,18.42247
4.95902,7.0778,8.74509
5.84802,14.41377,7.90984
14.01478,3.98893,17.74307
16.8442,3.85197,13.13619
5.40273,11.27835,11.53754
8.2491,3.78891,21.35921
12.55811,7.12955,13.8328
17.89059,9.18893,11.48964
8.32718,4.27662,9.89435
9.75754,7.24516,6.6518
6.9964,3.49628,6.89963
7.95971,14.44129,2.23574
12.66926,6.24989,3.66838
8.03491,7.87984,11.3091
5.26484,4.46569,3.83036
9.29274,3.99257,9.78612
7.92293,5.35107,10.01069
13.94346,9.24953,11.05526
7.56102,3.25672,9.02196
11.53742,9.20725,3.51027
6.92363,5.93131,8.70938
7.05141,12.02072,10.90702
10.51854,6.05767,2.62632
12.30104,3.19861,9.17657
7.64193,8.72603,7.74208
5.16502,4.89627,2.72967
15.46251,9.99065,11.09036
7.52557,7.55306,7.38955
8.05275,4.57956,11.72051
10.06915,7.50584,3.12757
5.50389,4.69118,7.94848
10.86398,13.00186,6.75329
9.98287,2.49848,8.58531
12.41292,2.9187,9.20255
6.68637,10.45596,2.33814
5.72682,9.35044,8.94294
17.3073,8.51763,8.18444
13.25744,12.64305,2.25082
19.8298,4.86607,8.84981
10.81368,7.48202,9.26034
6.79185,3.71175,6.74301
5.14851,8.78882,7.00513
7.28043,2.81316,11.49432
13.61284,5.17203,8.57204
12.84078,9.97415,7.76596
15.10793,6.26744,13.42355
21.92661,14.31166,6.78554
5.23194,10.44858,8.38981
6.62557,10.77869,6.78053
13.75704,4.40656,3.64258
12.62645,8.65836,4.79199
